"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
11.210,4.668,83.868,0.032,0.0,0.222,2257364.0,5741787.0,0.0,16384.0,131556.0,129706.0,26242.0,26239.0
10.646,4.816,84.221,0.0,0.0,0.317,2060554.0,5229041.0,0.0,16384.0,124249.0,126855.0,23959.0,23958.0
10.279,4.886,84.549,0.0,0.0,0.286,1964902.0,4959052.0,0.0,32768.0,119150.0,121431.0,22846.0,22843.0
11.569,4.881,83.265,0.0,0.0,0.285,2139635.0,5423028.0,0.0,20480.0,130979.0,132477.0,24849.0,24850.0
10.832,5.273,83.577,0.032,0.0,0.286,2132258.0,5411616.0,0.0,73728.0,126654.0,125410.0,24795.0,24791.0
10.964,5.024,83.760,0.0,0.0,0.253,2060848.0,5223880.0,0.0,28672.0,126868.0,128173.0,23955.0,23956.0
9.160,6.846,83.677,0.0,0.0,0.317,1868790.0,4748074.0,0.0,16384.0,110512.0,106123.0,21735.0,22032.0
10.223,4.395,85.032,0.032,0.0,0.318,2083414.0,5291450.0,0.0,16384.0,124854.0,124731.0,24222.0,24220.0
9.815,5.003,84.990,0.0,0.0,0.191,2064158.0,5240007.0,0.0,16384.0,124035.0,122838.0,24009.0,24009.0
10.633,4.937,84.114,0.0,0.0,0.316,2060714.0,5224771.0,0.0,90112.0,124908.0,124689.0,23969.0,23969.0
9.987,4.772,84.987,0.032,0.0,0.221,2005670.0,5074295.0,0.0,45056.0,122416.0,124432.0,23319.0,23315.0
10.812,5.422,83.450,0.0,0.0,0.317,2051254.0,5197553.0,0.0,16384.0,128368.0,131555.0,23858.0,23852.0
11.872,4.705,83.044,0.032,0.0,0.347,2240596.0,5690944.0,0.0,16384.0,133003.0,130150.0,26052.0,26051.0
10.270,5.278,84.165,0.0,0.0,0.286,1997442.0,5065028.0,0.0,16384.0,126068.0,130996.0,23226.0,23225.0
11.195,5.123,83.397,0.032,0.0,0.253,2061286.0,5223711.0,0.0,20480.0,127126.0,129018.0,23967.0,23964.0
10.935,5.040,83.708,0.0,0.0,0.317,2118732.0,5364626.0,0.0,28672.0,128411.0,128366.0,24644.0,24645.0
10.428,5.103,84.152,0.032,0.0,0.285,2016580.0,5129882.0,0.0,28672.0,125546.0,126265.0,23433.0,23429.0
11.589,5.496,82.506,0.0,0.031,0.377,2106764.0,5337726.0,0.0,28672.0,133984.0,127281.0,24498.0,24495.0
10.864,5.051,83.767,0.0,0.0,0.318,2166224.0,5492695.0,0.0,16384.0,132449.0,133118.0,25188.0,25187.0
10.130,4.558,84.900,0.032,0.0,0.380,2016480.0,5104376.0,0.0,90112.0,121238.0,120407.0,23451.0,23449.0
10.935,4.736,84.075,0.0,0.0,0.254,2043048.0,5177458.0,0.0,32768.0,125993.0,127835.0,23747.0,23738.0
9.962,5.028,84.630,0.0,0.0,0.380,1985908.0,5047753.0,0.0,40960.0,121240.0,121697.0,23084.0,23084.0
10.808,5.071,83.803,0.0,0.0,0.317,2103668.0,5331881.0,0.0,16384.0,128346.0,129585.0,24480.0,24472.0
10.745,4.849,84.057,0.032,0.0,0.317,2115638.0,5358497.0,0.0,16384.0,135592.0,125831.0,24581.0,24579.0
10.281,4.981,84.483,0.0,0.0,0.255,2022604.0,5129955.0,0.0,16384.0,124349.0,126302.0,23512.0,23507.0
10.585,5.150,84.044,0.0,0.0,0.221,2002664.0,5089628.0,0.0,28672.0,123758.0,124836.0,23286.0,23281.0
10.244,4.948,84.586,0.0,0.0,0.222,2018198.0,5104297.0,0.0,32768.0,121195.0,121632.0,23474.0,23467.0
