"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arldcn24",,,,"User:","apferrei"
"Cmdline:","dstat --output /tmp/dstat-run-2000000-vm.csv -cndy --net-packets",,,,"Date:","25 Jun 2014 14:34:55 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
1.398,0.371,98.137,0.011,0.000,0.082,0.0,0.0,30801.803,256610.627,29579.582,5165.652,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,858.0,5460.0,0.0,0.0,207.0,424.0,9.0,8.0
0.031,0.031,99.938,0.0,0.0,0.0,2086.0,322.0,0.0,0.0,140.0,255.0,8.0,1.0
0.0,0.031,99.969,0.0,0.0,0.0,546.0,322.0,0.0,4096.0,179.0,255.0,9.0,1.0
0.031,0.0,99.969,0.0,0.0,0.0,4819.0,10304.0,0.0,0.0,486.0,844.0,62.0,52.0
5.205,2.776,91.956,0.0,0.0,0.063,1075012.0,2702123.0,0.0,0.0,82283.0,110669.0,12484.0,12454.0
6.576,3.335,89.994,0.0,0.0,0.094,1310382.0,3321455.0,0.0,45056.0,97693.0,132040.0,15244.0,15237.0
6.540,3.476,89.953,0.0,0.0,0.032,1329214.0,3368332.0,0.0,16384.0,98312.0,134407.0,15453.0,15448.0
6.333,4.127,89.477,0.0,0.0,0.063,1134940.0,2882448.0,0.0,28672.0,89002.0,118041.0,13185.0,13199.0
6.543,3.020,90.406,0.0,0.0,0.031,1268350.0,3215236.0,0.0,16384.0,94792.0,129704.0,14759.0,14758.0
6.043,3.305,90.589,0.031,0.0,0.031,1233214.0,3127665.0,0.0,16384.0,93066.0,124923.0,14341.0,14335.0
6.280,3.061,90.660,0.0,0.0,0.0,1251478.0,3172587.0,0.0,16384.0,93896.0,127708.0,14559.0,14559.0
5.940,3.349,90.616,0.0,0.0,0.095,1273666.0,3229316.0,0.0,61440.0,95856.0,130330.0,14793.0,14790.0
6.388,3.052,90.466,0.0,0.0,0.094,1238964.0,3140279.0,0.0,24576.0,93365.0,126427.0,14417.0,14415.0
