"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
10,67.266,19.760,6.218,0.0,0.0,6.755,15992680.0,40562643.0,0.0,16384.0,1208509.0,261388.0,186284.0,186313.0
10,67.096,20.270,5.751,0.031,0.0,6.851,16013704.0,40596563.0,0.0,16384.0,1185481.0,259369.0,186071.0,186062.0
10,68.029,19.645,5.387,0.0,0.0,6.939,16136562.0,40920771.0,0.0,28672.0,1203849.0,259689.0,187710.0,187711.0
10,67.971,19.380,5.761,0.0,0.0,6.888,16043056.0,40670595.0,0.0,16384.0,1194206.0,261211.0,186540.0,186536.0
10,68.671,19.301,5.416,0.0,0.0,6.612,16098226.0,40828599.0,0.0,16384.0,1197703.0,260252.0,187211.0,187220.0
10,67.294,19.900,5.775,0.0,0.0,7.031,15940620.0,40402664.0,0.0,16384.0,1230442.0,260417.0,185247.0,185255.0
10,69.182,18.899,5.503,0.0,0.0,6.415,16341668.0,41445100.0,0.0,16384.0,1212018.0,263627.0,190167.0,190162.0
10,68.429,19.421,6.043,0.0,0.0,6.106,17166764.0,43528805.0,0.0,20480.0,1256098.0,278936.0,199642.0,199643.0
10,68.345,19.037,6.419,0.0,0.0,6.199,17144322.0,43467383.0,0.0,32768.0,1251051.0,278377.0,199293.0,199295.0
10,68.528,19.329,6.087,0.0,0.0,6.056,17118174.0,43410572.0,0.0,151552.0,1250026.0,277420.0,199087.0,199088.0
10,65.521,19.685,8.391,0.0,0.0,6.404,16569224.0,42010648.0,0.0,16384.0,1349924.0,273299.0,192627.0,192620.0
10,67.697,19.621,6.435,0.0,0.0,6.246,17049094.0,43226307.0,0.0,16384.0,1308256.0,278259.0,198292.0,198296.0
10,68.163,18.619,6.750,0.0,0.0,6.468,17055914.0,43248715.0,0.0,24576.0,1251347.0,279282.0,198289.0,198290.0
10,67.319,19.464,6.372,0.0,0.0,6.845,17105534.0,43377164.0,0.0,16384.0,1257017.0,278435.0,198953.0,198957.0
10,66.698,20.245,6.403,0.0,0.0,6.654,17072244.0,43290976.0,0.0,40960.0,1251933.0,278661.0,198533.0,198530.0
10,68.290,18.605,6.820,0.063,0.0,6.223,16926024.0,42909681.0,0.0,16384.0,1283085.0,278161.0,196735.0,196745.0
10,67.771,19.287,6.752,0.0,0.0,6.189,17012732.0,43146386.0,0.0,20480.0,1251131.0,280125.0,197799.0,197797.0
10,67.587,19.172,6.652,0.0,0.0,6.589,16991186.0,43074035.0,0.0,16384.0,1246853.0,279403.0,197622.0,197605.0
10,67.527,19.918,6.073,0.0,0.0,6.482,17137558.0,43452686.0,0.0,16384.0,1254988.0,279248.0,199260.0,199253.0
10,68.638,19.031,6.040,0.0,0.0,6.291,17146984.0,43478942.0,0.0,180224.0,1255595.0,278583.0,199373.0,199368.0
10,68.568,19.085,5.954,0.0,0.0,6.393,17158730.0,43503700.0,0.0,28672.0,1267347.0,278906.0,199529.0,199524.0
10,67.733,19.818,6.209,0.0,0.0,6.240,17105334.0,43381076.0,0.0,16384.0,1252808.0,279535.0,198905.0,198913.0
10,68.312,19.491,5.753,0.0,0.0,6.445,17218326.0,43645553.0,0.0,28672.0,1263595.0,277318.0,200205.0,200190.0
10,68.426,19.384,5.844,0.0,0.0,6.346,17116780.0,43400220.0,0.0,16384.0,1253476.0,277930.0,199021.0,199040.0
10,68.195,19.254,6.102,0.0,0.0,6.450,17129126.0,43436848.0,0.0,20480.0,1250598.0,277564.0,199204.0,199196.0
10,67.588,19.190,6.124,0.0,0.0,7.098,17065786.0,43256339.0,0.0,16384.0,1248228.0,277403.0,198108.0,198087.0
