"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arldcn24",,,,"User:","apferrei"
"Cmdline:","dstat --output /tmp/dstat-run-2000000-bml.csv -cndy --net-packets",,,,"Date:","17 Jun 2014 18:52:50 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
0.741,0.243,98.906,0.005,0.000,0.104,0.0,0.0,256856.670,113374.182,14119.972,4995.910,0.0,0.0
0.031,0.0,99.969,0.0,0.0,0.0,66.0,786.0,0.0,0.0,188.0,304.0,1.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,1514.0,388.0,0.0,0.0,179.0,321.0,6.0,2.0
0.031,0.0,99.969,0.0,0.0,0.0,702.0,1058.0,0.0,0.0,220.0,337.0,10.0,9.0
0.0,0.0,100.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,144.0,245.0,5.0,0.0
0.031,0.0,99.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,262.0,0.0,0.0
0.031,0.0,99.969,0.0,0.0,0.0,60.0,0.0,0.0,28672.0,172.0,311.0,1.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,168.0,250.0,3.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,300.0,0.0,0.0,0.0,209.0,250.0,5.0,0.0
0.031,0.031,99.937,0.0,0.0,0.0,2801.0,3994.0,0.0,0.0,348.0,501.0,33.0,27.0
11.783,3.358,83.972,0.0,0.0,0.887,2032575.0,5126227.0,0.0,0.0,99217.0,50810.0,23656.0,23632.0
15.660,4.986,78.044,0.0,0.0,1.310,2808004.0,7122018.0,0.0,20480.0,136740.0,69173.0,32672.0,32666.0
16.513,4.573,77.644,0.0,0.0,1.270,2859818.0,7250853.0,0.0,28672.0,138259.0,70278.0,33243.0,33244.0
14.217,4.495,80.268,0.032,0.0,0.988,3297066.0,8360777.0,0.0,16384.0,210675.0,80494.0,38348.0,38346.0
15.746,4.887,77.739,0.0,0.0,1.629,2854266.0,7235270.0,0.0,16384.0,138655.0,70306.0,33185.0,33180.0
16.476,4.612,77.449,0.0,0.0,1.463,2858992.0,7251177.0,0.0,16384.0,139243.0,70270.0,33256.0,33250.0
15.493,4.033,79.481,0.0,0.0,0.992,3231464.0,8191385.0,0.0,16384.0,153454.0,78969.0,37567.0,37564.0
14.322,4.233,80.522,0.0,0.0,0.923,3599364.0,9126573.0,0.0,16384.0,170768.0,87447.0,41850.0,41846.0
15.299,4.326,79.135,0.0,0.0,1.240,3287964.0,8335158.0,0.0,28672.0,155171.0,80300.0,38242.0,38234.0
