"Host:","arldcn24",,,,"User:","root"
"Cmdline:","dstat --output /tmp/dstat-run-2000000.csv -cndy --net-packets",,,,"Date:","16 Jun 2014 16:57:12 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
0.493,0.204,99.227,0.006,0.000,0.070,0.0,0.0,321610.345,132478.114,11190.552,4679.099,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,246.0,770.0,0.0,0.0,158.0,279.0,4.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,66.0,322.0,0.0,0.0,134.0,249.0,1.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,246.0,322.0,0.0,12288.0,180.0,322.0,4.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,1102.0,639.0,0.0,0.0,159.0,276.0,9.0,4.0
0.0,0.031,99.969,0.0,0.0,0.0,2530.0,4028.0,0.0,0.0,366.0,457.0,30.0,25.0
10.340,3.245,85.937,0.0,0.0,0.477,1871686.0,4716663.0,0.0,0.0,81342.0,45478.0,21843.0,21814.0
15.991,4.762,78.282,0.0,0.0,0.965,2902214.0,7356356.0,0.0,16384.0,125577.0,70096.0,33724.0,33721.0
16.313,4.528,78.163,0.032,0.0,0.963,2907766.0,7373560.0,0.0,16384.0,125722.0,70117.0,33770.0,33769.0
15.950,4.942,78.081,0.0,0.0,1.027,2906900.0,7370476.0,0.0,28672.0,126255.0,70299.0,33840.0,33839.0
16.336,5.061,77.771,0.0,0.0,0.833,2921052.0,7405881.0,0.0,16384.0,127107.0,70455.0,33922.0,33920.0
15.801,4.902,78.362,0.032,0.0,0.903,2922474.0,7409635.0,0.0,24576.0,127395.0,70617.0,33978.0,33980.0
16.067,4.788,78.278,0.0,0.0,0.868,2981934.0,7561746.0,0.0,16384.0,129400.0,71981.0,34678.0,34674.0
16.330,4.739,77.778,0.032,0.0,1.121,2925928.0,7418914.0,0.0,16384.0,127114.0,70639.0,34033.0,34026.0
16.399,4.493,78.177,0.0,0.0,0.931,2988336.0,7572329.0,0.0,40960.0,129175.0,72017.0,34734.0,34733.0
16.017,4.866,78.247,0.0,0.0,0.870,2933774.0,7438834.0,0.0,16384.0,127793.0,70971.0,34154.0,34148.0
16.058,4.556,78.449,0.065,0.0,0.872,2921642.0,7411799.0,0.0,106496.0,126990.0,70625.0,33977.0,33977.0
15.963,4.830,78.087,0.0,0.032,1.088,2895030.0,7336612.0,0.0,16384.0,131241.0,71727.0,33650.0,33648.0
13.675,3.921,81.479,0.0,0.0,0.924,3821252.0,9691176.0,0.0,16384.0,161288.0,93789.0,44428.0,44429.0
14.003,3.804,80.946,0.0,0.0,1.247,3620311.0,9175465.0,0.0,16384.0,154415.0,88913.0,42062.0,42051.0
13.845,3.919,80.887,0.0,0.0,1.349,3603228.0,9128689.0,0.0,28672.0,154837.0,88684.0,41891.0,41869.0
14.144,4.256,80.384,0.0,0.0,1.216,3569610.0,9050727.0,0.0,16384.0,154180.0,87822.0,41497.0,41497.0
14.354,4.274,80.383,0.032,0.0,0.957,3625626.0,9191893.0,0.0,16384.0,156180.0,89114.0,42163.0,42160.0
14.013,4.172,80.605,0.0,0.032,1.178,3727466.0,9453134.0,0.0,16384.0,159098.0,91556.0,43340.0,43340.0
15.680,4.864,78.240,0.0,0.0,1.216,3018780.0,7652808.0,0.0,16384.0,137083.0,74921.0,35101.0,35093.0
16.918,3.845,77.764,0.0,0.0,1.474,2816636.0,7142401.0,0.0,16384.0,130534.0,70016.0,32761.0,32761.0
16.154,4.808,77.596,0.032,0.0,1.410,2824210.0,7161120.0,0.0,102400.0,130461.0,70078.0,32841.0,32840.0
16.053,5.319,77.603,0.0,0.0,1.025,2942512.0,7460782.0,0.0,16384.0,131954.0,71319.0,34249.0,34248.0
16.057,4.945,77.810,0.0,0.0,1.188,2953680.0,7489677.0,0.0,16384.0,135193.0,71239.0,34351.0,34348.0
16.421,4.971,77.678,0.0,0.0,0.930,2952144.0,7484767.0,0.0,16384.0,136102.0,71247.0,34332.0,34329.0
15.085,4.857,79.125,0.0,0.0,0.933,2940424.0,7450379.0,0.0,16384.0,130907.0,70778.0,34162.0,34157.0
15.530,4.931,78.642,0.0,0.0,0.897,2890350.0,7329892.0,0.0,16384.0,125428.0,69752.0,33611.0,33606.0
15.700,4.646,78.565,0.032,0.0,1.057,2852482.0,7233034.0,0.0,28672.0,124546.0,68756.0,33181.0,33177.0
15.682,4.919,78.250,0.0,0.0,1.150,2846524.0,7214841.0,0.0,16384.0,124592.0,68684.0,33088.0,33088.0
15.148,4.910,78.659,0.0,0.0,1.284,2861104.0,7250822.0,0.0,16384.0,124633.0,69089.0,33260.0,33251.0
15.174,4.961,78.963,0.0,0.0,0.902,2854260.0,7237656.0,0.0,16384.0,124461.0,68992.0,33203.0,33197.0
16.410,4.199,78.526,0.064,0.0,0.801,2851885.0,7227848.0,0.0,163840.0,124451.0,68842.0,33149.0,33139.0
17.168,4.420,77.418,0.0,0.0,0.993,2614092.0,6627957.0,0.0,16384.0,115080.0,63359.0,30361.0,30362.0
16.507,5.118,77.255,0.0,0.032,1.088,2594028.0,6577292.0,0.0,28672.0,114570.0,63094.0,30172.0,30165.0
16.715,4.899,77.554,0.0,0.0,0.833,2641978.0,6699516.0,0.0,16384.0,115614.0,64124.0,30727.0,30727.0
17.137,4.942,76.765,0.0,0.0,1.155,2655368.0,6732855.0,0.0,16384.0,117599.0,64435.0,30872.0,30872.0
16.913,5.295,76.701,0.032,0.0,1.059,2664234.0,6753100.0,0.0,20480.0,118214.0,64744.0,30992.0,30990.0
17.426,4.974,76.733,0.0,0.0,0.866,2664234.0,6755215.0,0.0,16384.0,118148.0,64626.0,30945.0,30942.0
17.291,5.123,76.529,0.0,0.0,1.057,2662650.0,6753304.0,0.0,16384.0,118273.0,64665.0,30972.0,30971.0
17.174,5.159,76.546,0.0,0.0,1.121,2665306.0,6759491.0,0.0,28672.0,118391.0,64742.0,31027.0,31026.0
16.693,4.600,77.742,0.0,0.0,0.965,2876778.0,7292397.0,0.0,16384.0,124989.0,69521.0,33415.0,33410.0
17.064,4.894,76.916,0.032,0.0,1.095,2666238.0,6760347.0,0.0,98304.0,118415.0,64777.0,31015.0,31014.0
15.690,4.963,77.970,0.032,0.0,1.345,2886238.0,7317446.0,0.0,16384.0,132697.0,70123.0,33595.0,33587.0
15.675,4.990,77.991,0.0,0.0,1.344,2912652.0,7384332.0,0.0,16384.0,134163.0,70716.0,33857.0,33856.0
15.968,4.736,78.080,0.0,0.0,1.216,2912382.0,7384013.0,0.0,16384.0,134121.0,70691.0,33878.0,33873.0
15.642,4.747,78.305,0.032,0.032,1.242,2850846.0,7229650.0,0.0,40960.0,130793.0,69122.0,33143.0,33142.0
16.226,4.272,78.419,0.0,0.0,1.084,2847482.0,7219770.0,0.0,28672.0,130306.0,69187.0,33116.0,33112.0
15.008,5.342,78.219,0.0,0.032,1.399,2838816.0,7197091.0,0.0,16384.0,130616.0,69017.0,33011.0,33008.0
15.161,4.692,78.519,0.032,0.0,1.596,2842268.0,7208317.0,0.0,16384.0,130286.0,68972.0,33059.0,33056.0
