You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  0   0  99   0   0   0| 327k  128k|   0     0 |   0     0 |8408  4094 
  0   0 100   0   0   0|   0     0 |  60B    0 |   0     0 | 201   331 
  0   0 100   0   0   0|   0     0 |  60B    0 |   0     0 | 143   238 
  0   0 100   0   0   0|   0     0 | 174B  212B|   0     0 | 171   259 
  0   0 100   0   0   0|   0    48k| 666B  431B|   0     0 | 186   314 
  0   0 100   0   0   0|   0     0 | 240B    0 |   0     0 | 187   315 
  0   0 100   0   0   0|   0     0 | 300B    0 |   0     0 | 127   238 
  0   0 100   0   0   0|   0     0 | 180B    0 |   0     0 | 217   248 
  0   0 100   0   0   0|   0     0 |1634B    0 |   0     0 | 134   248 
  0   0 100   0   0   0|   0     0 |  60B    0 |   0     0 | 189   335 
  0   0 100   0   0   0|   0    20k| 180B    0 |   0     0 | 141   247 
  0   0 100   0   0   0|   0     0 |5025B 5506B|   0     0 | 423   584 
 12   4  84   0   0   1|   0     0 |3814k 9646k|   0     0 | 169k   95k
 13   4  82   0   0   1|   0    16k|4194k   10M|   0     0 | 186k  105k
 13   4  83   0   0   1|   0    16k|4177k   10M|   0     0 | 185k  104k
 12   4  83   0   0   1|   0    36k|4175k   10M|   0     0 | 185k  104k
 12   4  84   0   0   1|   0    16k|4203k   10M|   0     0 | 186k  105k
 12   4  83   0   0   1|   0    16k|4191k   10M|   0     0 | 185k  105k
 12   4  83   0   0   1|   0    16k|4183k   10M|   0     0 | 186k  105k
 15   4  80   0   0   1|   0    16k|3329k 8440k|   0     0 | 151k   83k
 16   5  78   0   0   1|   0    64k|2845k 7210k|   0     0 | 132k   71k
 17   4  78   0   0   1|   0    32k|2846k 7220k|   0     0 | 133k   71k
 16   5  78   0   0   1|   0    88k|2792k 7078k|   0     0 | 131k   70k
 15   5  79   0   0   1|   0    16k|2799k 7095k|   0     0 | 143k   70k
 15   5  79   0   0   1|   0    16k|2762k 6997k|   0     0 | 138k   69k
 16   5  78   0   0   1|   0    16k|2781k 7052k|   0     0 | 132k   69k
 16   5  78   0   0   1|   0    28k|2786k 7064k|   0     0 | 131k   69k
 16   5  78   0   0   1|   0    16k|2783k 7055k|   0     0 | 131k   69k
 16   5  78   0   0   1|   0    16k|2773k 7032k|   0     0 | 134k   69k
 16   5  78   0   0   1|   0    16k|2733k 6928k|   0     0 | 136k   68k
 16   5  78   0   0   1|   0    16k|2730k 6923k|   0     0 | 133k   68k
 16   5  79   0   0   1|   0    16k|2743k 6954k|   0     0 | 125k   68k
 16   5  79   0   0   1|   0   100k|2824k 7159k|   0     0 | 126k   70k
 16   5  78   0   0   1|   0    16k|2751k 6977k|   0     0 | 124k   68k
 16   5  78   0   0   1|   0    16k|2746k 6959k|   0     0 | 124k   68k
 16   4  78   0   0   1|   0    16k|2749k 6969k|   0     0 | 124k   68k
 16   5  78   0   0   1|   0    16k|2758k 6992k|   0     0 | 124k   68k
 16   5  78   0   0   1|   0    28k|2748k 6970k|   0     0 | 124k   68k
 16   5  78   0   0   1|   0    16k|2752k 6977k|   0     0 | 124k   68k
 16   5  78   0   0   1|   0    16k|2773k 7033k|   0     0 | 128k   69k
 14   4  80   0   0   1|   0    16k|3155k 7997k|   0     0 | 141k   79k
 16   5  78   0   0   1|   0    16k|2789k 7069k|   0     0 | 129k   70k
 16   5  78   0   0   1|   0    88k|2813k 7131k|   0     0 | 130k   71k
 15   5  79   0   0   1|   0    28k|2824k 7162k|   0     0 | 130k   71k
 15   5  78   0   0   1|   0    16k|2825k 7161k|   0     0 | 132k   71k
 16   5  78   0   0   1|   0    32k|2818k 7145k|   0     0 | 133k   71k
 15   5  79   0   0   1|   0    16k|2823k 7159k|   0     0 | 139k   71k
 16   4  78   0   0   1|   0    16k|2822k 7155k|   0     0 | 134k   71k
 16   4  79   0   0   1|   0    36k|3034k 7692k|   0     0 | 138k   76k
 16   5  78   0   0   1|   0    16k|2797k 7089k|   0     0 | 129k   70k
 16   5  78   0   0   1|   0    16k|2743k 6956k|   0     0 | 129k   69k
 16   5  78   0   0   1|   0    16k|2752k 6975k|   0     0 | 127k   69k
 16   5  78   0   0   1|   0    88k|2749k 6973k|   0     0 | 127k   69k
 16   5  78   0   0   1|   0    16k|2760k 6996k|   0     0 | 127k   69k
 16   5  78   0   0   1|   0    28k|2764k 7008k|   0     0 | 127k   69k
 16   5  79   0   0   1|   0    24k|2975k 7543k|   0     0 | 168k   75k
 14   5  80   0   0   1|   0    16k|3376k 8557k|   0     0 | 176k   84k
 16   5  78   0   0   1|   0    16k|2837k 7192k|   0     0 | 137k   71k
 17   5  78   0   0   1|   0    16k|2768k 7016k|   0     0 | 132k   70k
 16   5  78   0   0   1|   0    28k|2819k 7150k|   0     0 | 129k   70k
 16   4  78   0   0   1|   0    16k|2851k 7227k|   0     0 | 129k   70k
 15   5  79   0   0   1|   0    16k|3025k 7669k|   0     0 | 150k   75k
 16   5  78   0   0   1|   0    88k|2850k 7229k|   0     0 | 132k   70k
 16   5  78   0   0   1|   0    16k|2861k 7254k|   0     0 | 129k   71k
 16   5  78   0   0   1|   0    32k|2922k 7409k|   0     0 | 131k   72k
 16   5  78   0   0   1|   0    16k|2861k 7252k|   0     0 | 129k   71k
 17   5  78   0   0   1|   0    16k|2859k 7249k|   0     0 | 129k   71k
 16   5  78   0   0   1|   0    16k|2863k 7260k|   0     0 | 128k   71k
 16   5  78   0   0   1|   0    16k|2863k 7256k|   0     0 | 128k   71k
 17   5  78   0   0   1|   0    20k|2701k 6850k|   0     0 | 121k   67k
 16   6  77   0   0   1|   0    28k|2662k 6747k|   0     0 | 120k   66k
 17   5  77   0   0   1|   0    16k|2660k 6744k|   0     0 | 119k   66k
  1   0  98   0   0   0|   0    76k| 200k  478k|   0     0 |8904  5420 
 16   4  78   0   0   2|   0     0 |4990k   12M|   0     0 | 237k  112k
 22   7  69   0   0   2|   0    16k|6556k   16M|   0     0 | 308k  147k
 22   6  69   0   0   2|   0    28k|6598k   16M|   0     0 | 309k  148k
