"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
16,71.299,13.302,3.380,0.0,0.0,12.019,72409500.0,55580491.0,0.0,16384.0,902550.0,185176.0,427489.0,427450.0
16,70.854,13.285,3.800,0.0,0.0,12.060,72153860.0,55393097.0,0.0,16384.0,887934.0,187375.0,426240.0,426190.0
16,69.814,13.787,4.281,0.031,0.0,12.087,72181267.0,55413246.0,0.0,20480.0,889682.0,189214.0,426299.0,426242.0
16,69.947,13.444,4.513,0.0,0.0,12.097,72186728.0,55398617.0,0.0,28672.0,887570.0,191909.0,425898.0,425870.0
16,69.389,12.656,5.393,0.0,0.0,12.562,71644906.0,55003797.0,0.0,16384.0,891893.0,192772.0,423216.0,423125.0
16,70.013,13.068,5.019,0.0,0.0,11.900,71998853.0,55268507.0,0.0,16384.0,878792.0,193751.0,425069.0,425051.0
16,69.527,13.248,5.262,0.0,0.0,11.964,71872506.0,55170156.0,0.0,16384.0,876075.0,193250.0,424372.0,424354.0
16,70.050,12.939,4.950,0.0,0.0,12.061,72059638.0,55320201.0,0.0,16384.0,880644.0,193746.0,425620.0,425605.0
16,68.711,14.245,5.252,0.0,0.0,11.792,71959960.0,55235143.0,0.0,16384.0,874624.0,193765.0,424621.0,424584.0
16,69.610,14.540,4.368,0.0,0.0,11.482,72521192.0,55669764.0,0.0,176128.0,889290.0,192087.0,428334.0,428291.0
16,69.489,14.142,4.453,0.0,0.0,11.916,72011995.0,55269567.0,0.0,16384.0,935840.0,191084.0,424945.0,424901.0
16,70.358,13.457,4.674,0.0,0.0,11.512,72250693.0,55471270.0,0.0,16384.0,887599.0,192476.0,426972.0,426932.0
16,70.351,13.181,4.446,0.0,0.0,12.023,72320248.0,55521467.0,0.0,16384.0,877276.0,191703.0,427049.0,427020.0
16,69.265,13.356,5.783,0.0,0.0,11.596,71463558.0,54853901.0,0.0,20480.0,882179.0,194232.0,421853.0,421831.0
16,70.910,12.887,4.473,0.0,0.0,11.730,72352656.0,55542338.0,0.0,16384.0,885534.0,191460.0,427232.0,427208.0
16,68.823,13.438,6.342,0.0,0.0,11.397,69866571.0,53631531.0,0.0,28672.0,1044592.0,192351.0,412522.0,412480.0
16,70.197,13.256,4.951,0.0,0.0,11.595,71915541.0,55207129.0,0.0,16384.0,896339.0,191798.0,424871.0,424835.0
16,69.675,12.836,5.934,0.0,0.0,11.555,71138217.0,54615812.0,0.0,16384.0,866179.0,196194.0,420077.0,420053.0
16,69.631,13.181,5.698,0.0,0.0,11.490,71499872.0,54882379.0,0.0,16384.0,875932.0,194991.0,421973.0,421917.0
16,70.852,13.024,4.571,0.0,0.0,11.553,72283104.0,55484788.0,0.0,102400.0,880385.0,190626.0,426895.0,426871.0
16,69.686,12.893,5.786,0.0,0.0,11.635,71370815.0,54785858.0,0.0,16384.0,872335.0,195456.0,421405.0,421385.0
16,67.453,13.491,7.044,0.346,0.0,11.667,70155073.0,53853446.0,0.0,40960.0,880249.0,197564.0,414183.0,414177.0
16,69.752,13.335,5.334,0.0,0.0,11.578,71530739.0,54913965.0,0.0,16384.0,874268.0,191727.0,422440.0,422414.0
16,69.451,13.218,5.275,0.0,0.0,12.057,71617843.0,54977133.0,0.0,16384.0,875054.0,193619.0,422929.0,422911.0
16,69.301,13.609,5.080,0.0,0.0,12.010,71814281.0,55118461.0,0.0,16384.0,871042.0,193305.0,423752.0,423726.0
16,69.965,13.174,5.200,0.0,0.0,11.661,71739131.0,55073398.0,0.0,20480.0,877420.0,193842.0,423675.0,423658.0
16,69.897,12.817,6.158,0.0,0.0,11.128,70952683.0,54488534.0,0.0,16384.0,884456.0,194309.0,418986.0,418975.0
16,69.762,12.977,4.909,0.031,0.0,12.320,71897594.0,55167525.0,0.0,28672.0,876135.0,192692.0,424364.0,424304.0
16,68.677,13.541,5.467,0.0,0.0,12.315,71501032.0,54889133.0,0.0,16384.0,871876.0,194205.0,422312.0,422290.0
16,68.801,12.900,6.529,0.0,0.0,11.770,70750473.0,54304064.0,0.0,163840.0,850865.0,195467.0,417499.0,417475.0
16,69.492,12.775,5.556,0.0,0.0,12.178,71348816.0,54775554.0,0.0,16384.0,868323.0,195353.0,421479.0,421450.0
16,69.233,13.253,5.901,0.032,0.0,11.581,71122227.0,54598293.0,0.0,16384.0,884643.0,196141.0,419775.0,419734.0
16,67.690,13.350,7.302,0.0,0.0,11.658,70347031.0,54004177.0,0.0,16384.0,844101.0,198259.0,415480.0,415474.0
16,68.107,13.628,6.972,0.0,0.0,11.293,70876833.0,54408753.0,0.0,28672.0,854817.0,199493.0,418490.0,418485.0
16,68.431,12.715,7.297,0.0,0.0,11.557,70616441.0,54202508.0,0.0,20480.0,851191.0,199361.0,416915.0,416878.0
16,68.175,13.164,6.095,0.0,0.0,12.567,71246806.0,54693587.0,0.0,16384.0,867931.0,197688.0,420804.0,420783.0
16,68.619,13.749,5.857,0.0,0.0,11.776,70983383.0,54486113.0,0.0,20480.0,928723.0,197171.0,418654.0,418630.0
16,68.970,13.442,5.779,0.0,0.0,11.809,71656700.0,55016091.0,0.0,16384.0,871417.0,196654.0,423772.0,423734.0
16,68.306,13.028,7.235,0.0,0.0,11.431,70523008.0,54138239.0,0.0,16384.0,862441.0,199015.0,416241.0,416226.0
16,68.426,13.429,6.777,0.0,0.0,11.368,70876449.0,54403977.0,0.0,102400.0,852368.0,197890.0,418170.0,418144.0
16,68.681,13.404,6.796,0.0,0.0,11.118,70753451.0,54310470.0,0.0,16384.0,856301.0,200285.0,417859.0,417835.0
16,67.727,14.137,6.990,0.0,0.0,11.146,69714781.0,53509718.0,0.0,16384.0,1011153.0,196757.0,411803.0,411755.0
16,68.270,13.742,6.541,0.0,0.0,11.447,70793569.0,54346032.0,0.0,16384.0,901345.0,196457.0,418152.0,418112.0
16,68.416,13.419,6.223,0.0,0.0,11.942,71136849.0,54607910.0,0.0,16384.0,877365.0,197614.0,419872.0,419859.0
16,69.137,13.102,6.316,0.0,0.0,11.445,71065128.0,54552672.0,0.0,16384.0,867884.0,197471.0,419535.0,419499.0
16,68.736,12.764,6.997,0.0,0.0,11.503,70731119.0,54300174.0,0.0,28672.0,854599.0,198828.0,417038.0,417054.0
16,68.595,13.423,6.665,0.094,0.0,11.223,70538450.0,54151667.0,0.0,16384.0,891336.0,198086.0,417271.0,417221.0
16,68.139,14.035,6.140,0.0,0.0,11.685,71187268.0,54638235.0,0.0,16384.0,869951.0,196885.0,420168.0,420148.0
16,68.118,13.216,6.890,0.0,0.0,11.776,70873712.0,54403354.0,0.0,20480.0,860218.0,198950.0,418192.0,418180.0
16,67.670,12.982,7.400,0.0,0.0,11.947,70471014.0,54098835.0,0.0,163840.0,855565.0,199011.0,416460.0,416417.0
16,68.565,13.216,6.293,0.0,0.0,11.926,71176989.0,54643839.0,0.0,16384.0,872731.0,198908.0,420257.0,420217.0
16,69.686,12.987,6.038,0.0,0.0,11.289,71316846.0,54742647.0,0.0,28672.0,864524.0,197224.0,421114.0,421075.0
16,68.009,13.369,6.700,0.0,0.0,11.922,70773063.0,54333304.0,0.0,16384.0,879397.0,198431.0,418058.0,418030.0
16,67.107,13.729,7.571,0.0,0.0,11.593,70398736.0,54039371.0,0.0,16384.0,852410.0,201320.0,415541.0,415514.0
16,68.157,13.039,7.622,0.0,0.0,11.181,70192542.0,53873762.0,0.0,32768.0,844327.0,201272.0,414257.0,414233.0
16,68.321,13.077,7.054,0.0,0.0,11.548,70860628.0,54397269.0,0.0,16384.0,858247.0,199876.0,418591.0,418560.0
16,69.299,12.803,6.417,0.0,0.0,11.482,71267706.0,54707564.0,0.0,16384.0,861361.0,200349.0,420750.0,420709.0
16,67.900,13.072,6.991,0.0,0.0,12.038,70777928.0,54331663.0,0.0,28672.0,872035.0,199753.0,418026.0,417988.0
