"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
15,76.371,14.290,4.199,0.0,0.0,5.139,13386506.0,33947001.0,0.0,16384.0,993794.0,203490.0,155692.0,155699.0
15,76.410,13.493,5.266,0.0,0.0,4.830,13253078.0,33603744.0,0.0,16384.0,977236.0,207381.0,154109.0,154127.0
15,75.860,14.603,4.284,0.0,0.0,5.253,13374472.0,33910636.0,0.0,16384.0,992202.0,204712.0,155523.0,155536.0
15,75.588,15.199,3.823,0.0,0.0,5.390,13454884.0,34113159.0,0.0,16384.0,998301.0,203231.0,156427.0,156444.0
15,76.545,13.966,4.634,0.0,0.0,4.855,13348666.0,33865419.0,0.0,36864.0,999956.0,206036.0,155190.0,155203.0
15,75.102,14.052,6.130,0.0,0.0,4.715,13212854.0,33501088.0,0.0,16384.0,977380.0,210010.0,153666.0,153687.0
15,74.569,13.484,6.742,0.031,0.0,5.174,13159120.0,33354843.0,0.0,16384.0,966176.0,210330.0,153055.0,153059.0
15,73.884,14.771,6.191,0.0,0.0,5.154,13190892.0,33450404.0,0.0,16384.0,972525.0,208690.0,153296.0,153290.0
15,75.205,13.688,6.042,0.0,0.0,5.066,13233154.0,33550846.0,0.0,16384.0,976374.0,208464.0,153931.0,153957.0
15,74.018,14.672,6.378,0.0,0.0,4.932,13199782.0,33464398.0,0.0,106496.0,967952.0,208680.0,153473.0,153477.0
15,73.722,14.675,6.585,0.0,0.0,5.017,13058394.0,33118725.0,0.0,16384.0,1047939.0,209199.0,151825.0,151824.0
15,75.259,14.066,5.683,0.0,0.0,4.992,13236880.0,33569060.0,0.0,16384.0,983412.0,206246.0,153996.0,154003.0
15,75.836,13.091,5.394,0.0,0.0,5.678,13221342.0,33532983.0,0.0,16384.0,982852.0,205017.0,153701.0,153696.0
15,75.299,14.048,5.248,0.0,0.0,5.405,13229786.0,33539134.0,0.0,16384.0,979432.0,204176.0,153776.0,153785.0
15,74.859,14.582,5.468,0.0,0.0,5.091,13206086.0,33478620.0,0.0,16384.0,979116.0,203590.0,153596.0,153604.0
15,74.914,14.545,5.161,0.0,0.0,5.380,12983518.0,32916108.0,0.0,28672.0,1143008.0,199090.0,150894.0,150894.0
15,76.969,14.250,3.844,0.0,0.0,4.938,13293080.0,33718405.0,0.0,16384.0,1015349.0,201711.0,154659.0,154685.0
15,76.884,14.008,4.271,0.0,0.0,4.837,13248634.0,33579508.0,0.0,16384.0,988672.0,203410.0,153888.0,153896.0
15,76.652,14.308,3.928,0.0,0.0,5.112,13301334.0,33738840.0,0.0,16384.0,989279.0,201133.0,154864.0,154877.0
15,76.627,14.612,3.786,0.0,0.0,4.975,13341456.0,33815611.0,0.0,151552.0,991714.0,201835.0,155101.0,155112.0
15,74.114,15.155,5.522,0.094,0.0,5.115,13000224.0,32976856.0,0.0,20480.0,1041482.0,205826.0,151198.0,151212.0
15,76.111,14.686,4.003,0.0,0.0,5.200,13289102.0,33686337.0,0.0,28672.0,1002346.0,202417.0,154529.0,154548.0
15,75.644,14.896,3.897,0.0,0.0,5.563,13353786.0,33863868.0,0.0,16384.0,996162.0,201742.0,155265.0,155288.0
15,77.345,14.120,3.828,0.0,0.0,4.707,13314506.0,33766710.0,0.0,16384.0,990665.0,201849.0,154786.0,154773.0
15,75.770,14.833,3.991,0.0,0.0,5.405,13318148.0,33754954.0,0.0,16384.0,1007409.0,202343.0,154906.0,154950.0
15,74.461,14.630,5.939,0.0,0.0,4.970,13141512.0,33337535.0,0.0,16384.0,996535.0,205780.0,152776.0,152772.0
15,75.708,14.317,4.405,0.0,0.0,5.570,13301286.0,33718884.0,0.0,16384.0,984222.0,202502.0,154667.0,154692.0
15,74.173,14.047,6.047,0.0,0.0,5.732,13159728.0,33378272.0,0.0,28672.0,968684.0,206957.0,152998.0,152996.0
15,73.590,14.781,6.146,0.0,0.0,5.484,13129718.0,33275968.0,0.0,16384.0,968420.0,207362.0,152723.0,152711.0
15,75.649,14.317,4.939,0.0,0.0,5.095,13219698.0,33532955.0,0.0,163840.0,995260.0,203507.0,153786.0,153815.0
15,74.562,13.705,6.539,0.0,0.0,5.194,13039028.0,33066541.0,0.0,20480.0,986071.0,206489.0,151559.0,151554.0
15,73.226,14.916,6.559,0.0,0.0,5.298,13012614.0,32965670.0,0.0,16384.0,1031578.0,208634.0,151230.0,151239.0
15,69.490,14.137,11.839,0.0,0.0,4.534,12454708.0,31579851.0,0.0,16384.0,1095046.0,217384.0,144838.0,144835.0
15,69.877,13.975,11.363,0.0,0.0,4.784,12697218.0,32214313.0,0.0,28672.0,960215.0,219630.0,147705.0,147719.0
15,71.100,13.237,11.503,0.0,0.0,4.160,12766046.0,32364269.0,0.0,32768.0,922219.0,222014.0,148443.0,148425.0
15,70.734,14.241,10.665,0.0,0.0,4.360,12771762.0,32379140.0,0.0,16384.0,927506.0,220770.0,148462.0,148461.0
15,70.051,12.713,12.587,0.0,0.0,4.649,12608642.0,31973489.0,0.0,20480.0,908668.0,221254.0,146536.0,146530.0
15,70.856,13.893,10.830,0.126,0.0,4.294,12667018.0,32123242.0,0.0,16384.0,1021671.0,221624.0,147270.0,147272.0
15,71.075,13.955,10.720,0.0,0.0,4.250,12827560.0,32516002.0,0.0,16384.0,936196.0,220718.0,149209.0,149229.0
15,70.645,14.787,10.056,0.031,0.0,4.480,12882300.0,32663226.0,0.0,135168.0,935191.0,218541.0,149678.0,149664.0
15,70.712,14.880,9.962,0.0,0.0,4.445,12881848.0,32668646.0,0.0,16384.0,931434.0,221450.0,149945.0,149961.0
15,70.556,14.086,11.002,0.0,0.0,4.356,12765360.0,32369138.0,0.0,20480.0,923385.0,220758.0,148459.0,148460.0
15,70.857,13.453,11.374,0.0,0.0,4.316,12690912.0,32175704.0,0.0,16384.0,931671.0,221318.0,147618.0,147608.0
15,71.025,14.111,10.724,0.0,0.0,4.139,12799284.0,32452872.0,0.0,16384.0,929028.0,219978.0,148767.0,148772.0
15,70.607,14.367,10.783,0.0,0.0,4.244,12778390.0,32395339.0,0.0,28672.0,929722.0,221005.0,148653.0,148679.0
15,71.201,13.977,10.444,0.0,0.0,4.378,12822552.0,32518051.0,0.0,16384.0,932332.0,219545.0,149088.0,149075.0
15,71.689,13.621,10.318,0.0,0.0,4.372,12850804.0,32583419.0,0.0,16384.0,929198.0,220642.0,149328.0,149327.0
15,71.370,13.953,10.371,0.0,0.0,4.305,12794348.0,32441191.0,0.0,16384.0,956410.0,218960.0,148780.0,148789.0
15,70.953,13.675,10.940,0.0,0.0,4.433,12762794.0,32365777.0,0.0,16384.0,923442.0,220663.0,148380.0,148379.0
15,70.382,13.925,11.209,0.032,0.0,4.452,12797820.0,32450766.0,0.0,163840.0,921151.0,221656.0,148799.0,148805.0
15,69.515,13.615,12.269,0.0,0.0,4.601,12576358.0,31884129.0,0.0,28672.0,902767.0,223150.0,146325.0,146327.0
15,73.792,14.335,7.357,0.0,0.0,4.515,13139344.0,33324688.0,0.0,16384.0,965624.0,215545.0,152715.0,152722.0
15,69.523,13.999,12.147,0.0,0.0,4.331,12516358.0,31722394.0,0.0,20480.0,982011.0,221611.0,145589.0,145584.0
15,70.903,13.809,10.884,0.0,0.0,4.404,12751892.0,32340861.0,0.0,16384.0,930155.0,222861.0,148275.0,148274.0
15,71.599,13.855,10.273,0.0,0.031,4.241,12848930.0,32568494.0,0.0,16384.0,951091.0,219973.0,149354.0,149346.0
15,70.740,14.047,10.709,0.0,0.0,4.504,12758874.0,32370034.0,0.0,16384.0,937573.0,220439.0,148448.0,148462.0
15,71.496,13.641,10.474,0.0,0.0,4.390,12836276.0,32531320.0,0.0,28672.0,930097.0,219735.0,149203.0,149190.0
15,68.878,14.313,12.512,0.0,0.0,4.297,12478900.0,31638129.0,0.0,16384.0,999926.0,219488.0,145049.0,145048.0
15,70.204,14.192,11.020,0.0,0.0,4.584,12693588.0,32189130.0,0.0,16384.0,993974.0,220263.0,147638.0,147634.0
