"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arldcn24",,,,"User:","apferrei"
"Cmdline:","dstat --output /tmp/dstat-run-2000000-docker-nethost.csv -cndy --net-packets",,,,"Date:","18 Jun 2014 16:29:05 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
2.658,0.696,96.273,0.005,0.000,0.369,0.0,0.0,219948.460,106278.797,42600.788,12121.846,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,1340.0,770.0,0.0,0.0,195.0,278.0,4.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,186.0,395.0,0.0,0.0,130.0,248.0,3.0,2.0
0.0,0.031,99.969,0.0,0.0,0.0,126.0,322.0,0.0,0.0,223.0,329.0,2.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,846.0,762.0,0.0,0.0,186.0,338.0,12.0,5.0
0.0,0.0,100.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,201.0,289.0,1.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,180.0,0.0,0.0,28672.0,128.0,247.0,3.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,210.0,90.0,0.0,0.0,207.0,315.0,3.0,1.0
0.0,0.031,99.969,0.0,0.0,0.0,60.0,0.0,0.0,0.0,198.0,252.0,1.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,176.0,252.0,3.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,120.0,0.0,0.0,0.0,137.0,252.0,2.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,208.0,312.0,5.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,120.0,0.0,0.0,12288.0,136.0,254.0,2.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,255.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,148.0,269.0,3.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,890.0,0.0,0.0,0.0,213.0,321.0,6.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,120.0,73.0,0.0,0.0,199.0,249.0,2.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,1424.0,90.0,0.0,0.0,186.0,269.0,5.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,770.0,0.0,0.0,12288.0,137.0,250.0,4.0,0.0
0.031,0.0,99.969,0.0,0.0,0.0,4403.0,5126.0,0.0,0.0,467.0,654.0,53.0,39.0
16.720,3.408,79.140,0.0,0.0,0.732,2054648.0,5188384.0,0.0,0.0,95811.0,51617.0,23937.0,23918.0
15.611,2.815,80.774,0.032,0.0,0.768,3337706.0,8459895.0,0.0,16384.0,144550.0,81395.0,38784.0,38780.0
15.982,3.025,80.420,0.0,0.0,0.573,3322284.0,8425185.0,0.0,16384.0,143729.0,81077.0,38634.0,38631.0
17.982,3.501,77.562,0.0,0.0,0.955,2613904.0,6624859.0,0.0,16384.0,118075.0,64649.0,30415.0,30406.0
