"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
14,72.707,14.918,7.663,0.0,0.0,4.711,12073518.0,30621160.0,0.0,16384.0,921265.0,198966.0,140358.0,140363.0
14,76.904,14.572,3.071,0.0,0.0,5.453,13470350.0,34159634.0,0.0,16384.0,975778.0,199114.0,156656.0,156658.0
14,76.993,14.721,3.264,0.0,0.0,5.022,13838166.0,35081346.0,0.0,16384.0,996839.0,205801.0,160866.0,160884.0
14,75.946,14.795,3.879,0.0,0.0,5.380,14376790.0,36445623.0,0.0,28672.0,1030925.0,217441.0,167271.0,167260.0
14,76.465,14.090,4.052,0.0,0.0,5.393,14335942.0,36358904.0,0.0,24576.0,1034864.0,217751.0,166643.0,166642.0
14,75.078,15.228,5.003,0.0,0.0,4.690,14055764.0,35631381.0,0.0,16384.0,1161615.0,217275.0,163456.0,163461.0
14,75.659,14.948,4.760,0.0,0.0,4.633,14214482.0,36050606.0,0.0,16384.0,1052903.0,219285.0,165244.0,165256.0
14,75.848,14.698,4.585,0.0,0.0,4.868,14291734.0,36229625.0,0.0,16384.0,1057212.0,219166.0,166207.0,166224.0
14,74.261,14.111,6.254,0.0,0.0,5.374,14110860.0,35784502.0,0.0,20480.0,1001712.0,222999.0,164097.0,164100.0
14,73.678,14.641,6.171,0.031,0.0,5.479,14132948.0,35840286.0,0.0,184320.0,1004275.0,222302.0,164329.0,164333.0
14,69.532,13.994,11.829,0.094,0.0,4.550,13486444.0,34174721.0,0.0,16384.0,984967.0,229026.0,156797.0,156796.0
14,67.271,13.004,16.193,0.0,0.0,3.532,13265392.0,33634109.0,0.0,16384.0,902852.0,241583.0,154321.0,154342.0
14,68.024,13.373,15.033,0.0,0.0,3.570,13420310.0,34042383.0,0.0,16384.0,904370.0,241632.0,155963.0,155973.0
14,66.226,12.760,17.328,0.0,0.0,3.686,13040332.0,33046933.0,0.0,16384.0,869388.0,236590.0,151650.0,151632.0
14,67.247,12.924,16.281,0.0,0.0,3.548,13273938.0,33668242.0,0.0,36864.0,887124.0,239683.0,154364.0,154371.0
14,67.465,13.126,15.801,0.0,0.0,3.608,13245392.0,33576008.0,0.0,16384.0,897939.0,239725.0,154027.0,154021.0
14,66.803,13.858,15.559,0.0,0.0,3.780,13299068.0,33729232.0,0.0,16384.0,889895.0,237923.0,154630.0,154643.0
14,65.804,12.883,17.840,0.0,0.0,3.473,12963654.0,32872353.0,0.0,16384.0,864903.0,240031.0,150679.0,150676.0
14,66.804,12.880,16.772,0.0,0.0,3.544,12650586.0,32076362.0,0.0,20480.0,843279.0,235423.0,147195.0,147224.0
14,68.110,14.124,14.281,0.0,0.0,3.484,12551170.0,31829864.0,0.0,98304.0,855378.0,226219.0,145915.0,145919.0
14,70.779,13.601,11.518,0.0,0.0,4.102,12662812.0,32107702.0,0.0,28672.0,904851.0,216475.0,147251.0,147254.0
14,74.961,13.678,6.886,0.0,0.0,4.476,13087484.0,33189518.0,0.0,16384.0,933527.0,209202.0,152172.0,152161.0
14,73.865,13.871,7.818,0.032,0.0,4.414,13008406.0,32983086.0,0.0,16384.0,931998.0,210434.0,151268.0,151275.0
14,73.314,14.083,7.561,0.0,0.0,5.041,13026814.0,33030827.0,0.0,16384.0,919295.0,211049.0,151386.0,151367.0
14,72.891,14.724,7.109,0.0,0.0,5.276,13059306.0,33111892.0,0.0,24576.0,922863.0,209221.0,151898.0,151909.0
14,73.448,14.169,7.461,0.0,0.0,4.922,13066082.0,33133355.0,0.0,16384.0,925152.0,211073.0,151965.0,151969.0
14,72.976,14.846,7.345,0.0,0.0,4.834,12940374.0,32814146.0,0.0,28672.0,990898.0,210987.0,150415.0,150410.0
14,74.859,13.400,6.825,0.0,0.0,4.915,13122256.0,33268942.0,0.0,16384.0,929683.0,211833.0,152644.0,152640.0
14,73.603,14.878,6.591,0.0,0.0,4.928,13132472.0,33294117.0,0.0,16384.0,933231.0,209770.0,152721.0,152749.0
14,74.213,14.736,6.455,0.0,0.0,4.597,13158330.0,33368656.0,0.0,118784.0,930033.0,207862.0,152983.0,152972.0
14,74.921,13.912,6.278,0.0,0.0,4.890,13205870.0,33461809.0,0.0,16384.0,930843.0,209423.0,153628.0,153629.0
14,72.971,14.430,7.452,0.0,0.0,5.147,12878328.0,32674087.0,0.0,16384.0,1054840.0,208814.0,149699.0,149701.0
14,74.214,13.868,7.516,0.0,0.0,4.403,13013600.0,33002944.0,0.0,28672.0,947180.0,210727.0,151291.0,151296.0
14,73.729,14.281,7.031,0.0,0.0,4.959,13119966.0,33260177.0,0.0,16384.0,930827.0,210282.0,152518.0,152518.0
14,73.994,14.119,6.981,0.0,0.0,4.906,13109030.0,33252796.0,0.0,28672.0,930061.0,210173.0,152425.0,152443.0
14,72.894,14.389,8.047,0.0,0.0,4.670,13000574.0,32963980.0,0.0,16384.0,914780.0,212482.0,151207.0,151204.0
14,72.992,14.611,7.464,0.127,0.0,4.807,12970302.0,32880302.0,0.0,16384.0,984130.0,213606.0,150815.0,150816.0
