"Host:","arldcn24",,,,"User:","apferrei"
"Cmdline:","dstat --output /tmp/dstat-run-2000000-single-hostnet-hostfs.csv -cndy --net-packets",,,,"Date:","20 Jun 2014 09:58:01 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
0.010,0.006,99.981,0.002,0.0,0.000,0.0,0.0,5338.636,38120.317,202.145,254.906,0.0,0.0
0.031,0.0,99.969,0.0,0.0,0.0,798.0,770.0,0.0,0.0,142.0,253.0,10.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,886.0,762.0,0.0,0.0,188.0,325.0,10.0,5.0
0.0,0.031,99.969,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,192.0,232.0,6.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,1444.0,798.0,0.0,0.0,237.0,410.0,16.0,7.0
0.0,0.0,100.0,0.0,0.0,0.0,2254.0,570.0,0.0,0.0,164.0,293.0,18.0,5.0
0.0,0.031,99.938,0.031,0.0,0.0,1200.0,684.0,0.0,16384.0,189.0,329.0,14.0,6.0
0.031,0.094,99.875,0.0,0.0,0.0,828.0,736.0,0.0,0.0,227.0,409.0,6.0,5.0
0.0,0.031,99.969,0.0,0.0,0.0,840.0,472.0,0.0,0.0,177.0,335.0,10.0,4.0
0.031,0.063,99.906,0.0,0.0,0.0,2822.0,1418.0,0.0,0.0,281.0,482.0,17.0,10.0
0.0,0.0,100.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,130.0,245.0,5.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,360.0,0.0,0.0,20480.0,218.0,248.0,6.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,155.0,282.0,3.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,420.0,0.0,0.0,0.0,149.0,239.0,7.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,256.0,0.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,180.0,0.0,0.0,0.0,144.0,237.0,3.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12288.0,155.0,291.0,0.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,1634.0,0.0,0.0,4096.0,175.0,284.0,9.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,1215.0,2480.0,0.0,0.0,166.0,284.0,15.0,11.0
9.462,1.614,88.576,0.0,0.0,0.348,1178710.0,2962238.0,0.0,0.0,54487.0,28969.0,13720.0,13691.0
18.591,3.603,77.105,0.032,0.0,0.670,2613616.0,6624408.0,0.0,16384.0,118759.0,63290.0,30417.0,30411.0
20.102,3.510,75.718,0.0,0.0,0.670,2290204.0,5806155.0,0.0,16384.0,107981.0,55747.0,26626.0,26626.0
17.822,3.833,77.451,0.032,0.0,0.862,2793092.0,7086056.0,0.0,28672.0,125966.0,67432.0,32507.0,32504.0
18.410,3.784,77.075,0.0,0.0,0.731,2778000.0,7041555.0,0.0,24576.0,125507.0,67017.0,32296.0,32292.0
20.025,3.910,75.334,0.0,0.0,0.731,2255566.0,5719762.0,0.0,16384.0,108994.0,54932.0,26196.0,26195.0
16.993,3.270,79.032,0.032,0.0,0.673,3129738.0,7932300.0,0.0,16384.0,144649.0,74961.0,36385.0,36378.0
17.343,3.354,78.665,0.0,0.0,0.639,3096726.0,7855400.0,0.0,16384.0,143526.0,74256.0,36020.0,36017.0
17.503,3.145,78.685,0.0,0.0,0.667,3242366.0,8217985.0,0.0,16384.0,149391.0,77627.0,37692.0,37692.0
17.069,3.560,78.735,0.0,0.0,0.636,3245624.0,8228616.0,0.0,40960.0,142896.0,77762.0,37741.0,37739.0
16.528,3.350,79.292,0.032,0.0,0.798,3322734.0,8421782.0,0.0,90112.0,145203.0,79614.0,38650.0,38641.0
17.772,3.110,78.356,0.032,0.0,0.730,3156392.0,8005812.0,0.0,16384.0,139077.0,75665.0,36695.0,36696.0
17.149,3.341,78.842,0.0,0.0,0.668,3221676.0,8170860.0,0.0,16384.0,141056.0,77166.0,37459.0,37459.0
16.804,3.335,79.098,0.0,0.0,0.762,3301162.0,8369603.0,0.0,16384.0,144145.0,79046.0,38387.0,38383.0
17.606,2.849,78.937,0.032,0.0,0.576,3110124.0,7881403.0,0.0,28672.0,137090.0,74503.0,36145.0,36139.0
16.720,3.306,79.339,0.0,0.0,0.636,3347612.0,8486232.0,0.0,24576.0,146952.0,80498.0,38928.0,38919.0
16.223,3.137,79.880,0.032,0.0,0.729,3529796.0,8948136.0,0.0,16384.0,154751.0,85097.0,41059.0,41052.0
16.471,3.269,79.594,0.0,0.0,0.666,3423388.0,8678659.0,0.0,16384.0,151587.0,82709.0,39796.0,39792.0
15.781,3.341,79.860,0.032,0.0,0.986,3435008.0,8710570.0,0.0,16384.0,151738.0,82876.0,39978.0,39977.0
15.554,3.226,80.422,0.0,0.0,0.798,3507296.0,8895792.0,0.0,16384.0,153867.0,84464.0,40757.0,40761.0
16.614,3.095,79.406,0.095,0.0,0.790,3478272.0,8817798.0,0.0,114688.0,152934.0,83887.0,40451.0,40448.0
16.189,3.027,80.147,0.0,0.0,0.637,3479160.0,8821588.0,0.0,16384.0,152432.0,83854.0,40437.0,40434.0
17.813,3.613,77.718,0.032,0.0,0.824,2888364.0,7323174.0,0.0,16384.0,131527.0,70207.0,33591.0,33591.0
19.210,3.918,75.948,0.0,0.0,0.924,2274632.0,5767498.0,0.0,16384.0,109128.0,55949.0,26468.0,26469.0
16.619,3.450,79.329,0.032,0.0,0.570,3293862.0,8352040.0,0.0,16384.0,146892.0,79549.0,38277.0,38274.0
17.866,3.217,78.376,0.0,0.0,0.541,2979076.0,7552152.0,0.0,57344.0,133004.0,72132.0,34669.0,34663.0
18.040,3.704,77.554,0.0,0.0,0.702,2726152.0,6911357.0,0.0,16384.0,121245.0,65750.0,31687.0,31687.0
17.776,3.632,77.827,0.0,0.0,0.765,2832674.0,7183241.0,0.0,16384.0,125057.0,68133.0,32914.0,32913.0
17.114,3.736,78.544,0.032,0.0,0.575,2967996.0,7524195.0,0.0,16384.0,130176.0,71387.0,34515.0,34512.0
18.684,3.417,77.387,0.0,0.0,0.511,2674934.0,6784960.0,0.0,20480.0,119596.0,64643.0,31122.0,31123.0
17.941,3.187,78.203,0.032,0.0,0.637,2932070.0,7431410.0,0.0,106496.0,128885.0,70558.0,34076.0,34075.0
18.600,3.771,77.021,0.0,0.0,0.607,2567926.0,6513237.0,0.0,16384.0,115790.0,62088.0,29865.0,29863.0
16.789,3.466,79.110,0.032,0.0,0.604,3126882.0,7926732.0,0.0,16384.0,135537.0,75110.0,36385.0,36383.0
16.603,3.321,79.534,0.0,0.0,0.543,3193406.0,8098050.0,0.0,16384.0,138017.0,76607.0,37124.0,37122.0
19.037,4.050,76.244,0.0,0.0,0.670,2349988.0,5958588.0,0.0,16384.0,107516.0,57107.0,27298.0,27298.0
16.985,3.880,78.372,0.032,0.0,0.732,2945994.0,7467500.0,0.0,24576.0,129456.0,70973.0,34272.0,34268.0
16.862,3.493,78.946,0.0,0.0,0.699,3113522.0,7896485.0,0.0,28672.0,136280.0,74788.0,36228.0,36229.0
16.880,3.165,79.284,0.032,0.0,0.639,3049774.0,7731893.0,0.0,16384.0,134000.0,73231.0,35456.0,35457.0
17.126,2.912,79.139,0.032,0.0,0.791,3219860.0,8164526.0,0.0,16384.0,140335.0,77229.0,37442.0,37434.0
16.969,3.273,79.250,0.0,0.0,0.508,3172152.0,8042425.0,0.0,16384.0,138884.0,75979.0,36873.0,36871.0
16.677,3.316,79.114,0.128,0.0,0.765,3087932.0,7829739.0,0.0,167936.0,135691.0,74253.0,35919.0,35917.0
16.603,3.123,79.541,0.0,0.0,0.733,3179388.0,8061704.0,0.0,16384.0,138845.0,76284.0,36979.0,36976.0
16.608,3.046,79.545,0.032,0.0,0.769,3144676.0,7974415.0,0.0,28672.0,137601.0,75408.0,36549.0,36552.0
