"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
9,70.607,13.446,4.190,0.0,0.0,11.757,70088436.0,53793582.0,0.0,28672.0,887475.0,185061.0,413686.0,413639.0
9,70.266,13.584,3.944,0.0,0.0,12.207,72261931.0,55470252.0,0.0,16384.0,894847.0,186710.0,426579.0,426540.0
9,69.051,13.460,6.340,0.0,0.0,11.149,71495446.0,54885577.0,0.0,16384.0,880775.0,196477.0,422278.0,422241.0
9,69.015,13.279,6.827,0.0,0.0,10.879,71455295.0,54861955.0,0.0,16384.0,876310.0,199951.0,421978.0,421949.0
9,68.269,12.535,7.886,0.0,0.0,11.310,70777641.0,54325379.0,0.0,28672.0,863095.0,201650.0,417726.0,417689.0
9,67.883,12.722,8.606,0.0,0.0,10.789,70365374.0,54020002.0,0.0,16384.0,866517.0,202052.0,415644.0,415631.0
9,66.981,13.258,8.640,0.0,0.0,11.122,70525772.0,54132050.0,0.0,32768.0,852874.0,203441.0,416262.0,416232.0
9,67.941,12.441,8.649,0.0,0.0,10.968,70586227.0,54187490.0,0.0,16384.0,856092.0,201661.0,416749.0,416727.0
9,68.168,13.352,7.536,0.0,0.0,10.944,71115180.0,54595117.0,0.0,16384.0,863087.0,201371.0,419990.0,419974.0
9,67.448,12.602,8.599,0.031,0.0,11.320,70392513.0,54037445.0,0.0,98304.0,853429.0,201782.0,415762.0,415728.0
9,68.076,13.784,7.237,0.0,0.0,10.902,70164844.0,53861529.0,0.0,16384.0,1022491.0,197814.0,414183.0,414165.0
9,68.932,13.342,6.389,0.0,0.0,11.337,71625533.0,54973957.0,0.0,16384.0,894801.0,197683.0,422901.0,422856.0
9,68.264,12.563,8.145,0.0,0.0,11.028,70680876.0,54263968.0,0.0,40960.0,856941.0,201769.0,417467.0,417443.0
9,67.734,13.026,7.878,0.0,0.0,11.362,70659073.0,54235633.0,0.0,16384.0,855247.0,198603.0,416939.0,416926.0
9,68.469,13.078,6.696,0.0,0.0,11.757,71611798.0,54978724.0,0.0,16384.0,880712.0,197751.0,422909.0,422876.0
9,66.290,13.547,8.874,0.125,0.0,11.163,69937894.0,53683750.0,0.0,16384.0,842044.0,202942.0,413105.0,413061.0
9,68.203,12.700,7.212,0.0,0.0,11.885,71223422.0,54673691.0,0.0,16384.0,865527.0,199017.0,420520.0,420501.0
9,68.129,13.068,7.929,0.0,0.0,10.874,70671349.0,54250295.0,0.0,16384.0,846872.0,198761.0,417435.0,417383.0
9,67.822,13.867,7.091,0.0,0.0,11.220,71439831.0,54838138.0,0.0,32768.0,865234.0,198708.0,421419.0,421414.0
9,67.580,12.571,8.601,0.0,0.0,11.248,70425688.0,54074560.0,0.0,90112.0,851172.0,201939.0,416272.0,416246.0
9,67.997,12.983,7.953,0.0,0.0,11.066,70714351.0,54276316.0,0.0,16384.0,875970.0,201524.0,417427.0,417400.0
9,67.899,12.590,8.456,0.0,0.0,11.055,70492381.0,54109211.0,0.0,16384.0,845873.0,200188.0,416000.0,415978.0
9,68.423,12.871,6.972,0.0,0.0,11.735,71107102.0,54582651.0,0.0,16384.0,864998.0,198165.0,419965.0,419907.0
9,69.062,12.719,7.031,0.0,0.0,11.188,70877064.0,54410103.0,0.0,16384.0,862573.0,198388.0,418547.0,418534.0
9,68.443,12.673,6.999,0.032,0.0,11.854,70705741.0,54274973.0,0.0,28672.0,863799.0,195345.0,417366.0,417337.0
9,68.130,13.331,7.246,0.0,0.0,11.292,70556901.0,54170116.0,0.0,16384.0,886757.0,197611.0,416697.0,416664.0
9,67.694,13.746,6.858,0.0,0.0,11.702,70851205.0,54379518.0,0.0,16384.0,887614.0,195951.0,418302.0,418281.0
9,68.579,12.857,6.805,0.0,0.0,11.759,70968774.0,54482443.0,0.0,16384.0,861050.0,196976.0,419013.0,418994.0
9,68.166,13.400,6.260,0.0,0.0,12.174,71480305.0,54877923.0,0.0,16384.0,872469.0,195516.0,422199.0,422175.0
9,68.434,12.959,7.217,0.0,0.0,11.390,70613087.0,54199380.0,0.0,94208.0,857244.0,199049.0,416747.0,416716.0
9,67.379,13.105,8.485,0.0,0.0,11.031,69879066.0,53641348.0,0.0,28672.0,840502.0,200709.0,412703.0,412680.0
9,68.210,13.141,7.040,0.0,0.0,11.608,70743241.0,54312005.0,0.0,16384.0,888772.0,199171.0,417764.0,417741.0
9,67.906,12.819,7.906,0.0,0.0,11.370,70518595.0,54129087.0,0.0,16384.0,850556.0,198986.0,416367.0,416323.0
9,68.109,12.919,7.683,0.0,0.0,11.289,70257549.0,53928499.0,0.0,16384.0,850920.0,199022.0,414687.0,414662.0
9,68.868,13.616,6.195,0.0,0.0,11.321,71317141.0,54751862.0,0.0,20480.0,868030.0,195000.0,421257.0,421229.0
9,68.105,13.383,7.004,0.0,0.0,11.507,70531858.0,54138899.0,0.0,16384.0,861179.0,199397.0,416054.0,416026.0
9,66.781,14.076,7.476,0.125,0.0,11.542,68554103.0,52625721.0,0.0,28672.0,1028661.0,202042.0,404945.0,404935.0
9,69.248,13.072,5.956,0.0,0.0,11.724,71250218.0,54702267.0,0.0,16384.0,881534.0,195970.0,420857.0,420851.0
9,68.776,13.503,5.729,0.0,0.0,11.992,71458118.0,54845171.0,0.0,16384.0,877754.0,195023.0,421728.0,421708.0
9,68.528,13.461,5.930,0.0,0.0,12.080,71208171.0,54666250.0,0.0,102400.0,869967.0,196162.0,420658.0,420618.0
9,69.947,13.193,5.798,0.0,0.0,11.062,71231774.0,54677527.0,0.0,16384.0,868962.0,196557.0,420542.0,420534.0
9,70.831,12.618,5.475,0.0,0.0,11.076,71557271.0,54932954.0,0.0,20480.0,889634.0,195894.0,422306.0,422280.0
9,68.811,13.497,5.266,0.0,0.0,12.425,71492098.0,54885394.0,0.0,28672.0,877991.0,192968.0,422509.0,422477.0
9,69.959,13.327,4.860,0.0,0.0,11.853,71800290.0,55116313.0,0.0,16384.0,875232.0,192478.0,423861.0,423854.0
9,68.456,13.135,6.726,0.0,0.0,11.683,70266685.0,53962088.0,0.0,24576.0,856594.0,198194.0,415165.0,415149.0
9,70.703,13.425,3.795,0.0,0.0,12.077,72344133.0,55509289.0,0.0,16384.0,887888.0,187787.0,426834.0,426787.0
9,69.915,12.920,5.879,0.0,0.0,11.286,70946585.0,54459111.0,0.0,16384.0,878312.0,195883.0,418658.0,418643.0
9,69.750,13.375,4.688,0.0,0.0,12.188,71796239.0,55114971.0,0.0,16384.0,882225.0,190929.0,424150.0,424109.0
9,68.715,13.511,5.956,0.031,0.0,11.787,70920351.0,54438557.0,0.0,40960.0,863948.0,197597.0,418753.0,418674.0
9,67.923,13.823,6.629,0.0,0.0,11.624,70259544.0,53935264.0,0.0,90112.0,851499.0,196999.0,414763.0,414736.0
9,69.166,13.425,4.956,0.0,0.0,12.453,71534615.0,54907672.0,0.0,16384.0,875787.0,194180.0,422187.0,422173.0
9,69.485,13.388,5.280,0.0,0.0,11.848,71116887.0,54594322.0,0.0,16384.0,899047.0,194412.0,420132.0,420079.0
9,68.525,14.219,5.669,0.0,0.0,11.588,71439736.0,54848363.0,0.0,16384.0,876575.0,197166.0,421886.0,421862.0
9,68.304,12.578,7.916,0.0,0.0,11.202,70539064.0,54141276.0,0.0,20480.0,849081.0,200673.0,416422.0,416382.0
9,69.900,12.578,6.665,0.0,0.0,10.857,71170941.0,54632102.0,0.0,28672.0,860556.0,199384.0,420227.0,420203.0
9,68.125,12.875,7.344,0.0,0.0,11.656,70666314.0,54252361.0,0.0,16384.0,851346.0,199356.0,417459.0,417433.0
9,68.115,12.905,7.523,0.0,0.0,11.457,70558984.0,54165735.0,0.0,16384.0,851885.0,202117.0,416516.0,416485.0
9,67.718,13.903,7.346,0.0,0.0,11.034,69430757.0,53303025.0,0.0,16384.0,1007852.0,196139.0,409636.0,409625.0
9,68.347,13.901,6.919,0.0,0.0,10.833,70959643.0,54461292.0,0.0,16384.0,873377.0,198884.0,419164.0,419134.0
