"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arldcn24",,,,"User:","apferrei"
"Cmdline:","dstat --output /tmp/dstat-run-2000000-vm.csv -cndy --net-packets",,,,"Date:","16 Jul 2014 11:20:56 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
0.045,0.154,99.781,0.020,0.0,0.000,0.0,0.0,610394.416,88574.567,368.777,927.580,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,581.0,836.0,0.0,0.0,71.0,150.0,6.0,2.0
0.0,0.0,100.0,0.0,0.0,0.0,246.0,322.0,0.0,0.0,69.0,118.0,4.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,461.0,412.0,0.0,0.0,90.0,178.0,4.0,2.0


"Host:","arldcn24",,,,"User:","apferrei"
"Cmdline:","dstat --output /tmp/dstat-run-2000000-vm.csv -cndy --net-packets",,,,"Date:","16 Jul 2014 11:27:20 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
0.207,0.106,99.631,0.055,0.0,0.001,0.0,0.0,412011.038,1573950.810,541.147,1569.136,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,366.0,888.0,0.0,0.0,124.0,259.0,6.0,3.0
0.0,0.0,100.0,0.0,0.0,0.0,306.0,322.0,0.0,0.0,115.0,217.0,5.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,444.0,374.0,0.0,0.0,90.0,213.0,7.0,2.0
0.0,0.0,100.0,0.0,0.0,0.0,426.0,322.0,0.0,0.0,97.0,186.0,7.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,306.0,464.0,0.0,65536.0,120.0,251.0,5.0,3.0
0.0,0.031,99.938,0.031,0.0,0.0,366.0,338.0,0.0,12288.0,158.0,229.0,6.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,521.0,390.0,0.0,0.0,76.0,159.0,5.0,2.0
0.0,0.0,100.0,0.0,0.0,0.0,306.0,322.0,0.0,0.0,86.0,157.0,5.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,546.0,374.0,0.0,0.0,122.0,243.0,9.0,2.0
0.0,0.0,100.0,0.0,0.0,0.0,426.0,322.0,0.0,0.0,141.0,287.0,7.0,1.0
0.0,0.031,99.969,0.0,0.0,0.0,486.0,374.0,0.0,12288.0,94.0,198.0,8.0,2.0
0.031,0.0,99.969,0.0,0.0,0.0,306.0,338.0,0.0,0.0,93.0,187.0,5.0,1.0
0.031,0.0,99.969,0.0,0.0,0.0,756.0,374.0,0.0,0.0,121.0,237.0,9.0,2.0
0.031,0.031,99.938,0.0,0.0,0.0,306.0,322.0,0.0,57344.0,168.0,243.0,5.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,306.0,390.0,0.0,0.0,82.0,161.0,5.0,2.0
0.031,0.0,99.969,0.0,0.0,0.0,246.0,322.0,0.0,0.0,83.0,147.0,4.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,426.0,374.0,0.0,12288.0,114.0,233.0,7.0,2.0
0.0,0.0,100.0,0.0,0.0,0.0,426.0,338.0,0.0,0.0,119.0,219.0,7.0,1.0
0.031,0.0,99.969,0.0,0.0,0.0,306.0,374.0,0.0,4096.0,94.0,195.0,5.0,2.0
0.0,0.031,99.969,0.0,0.0,0.0,486.0,338.0,0.0,0.0,88.0,157.0,8.0,1.0
0.031,0.0,99.969,0.0,0.0,0.0,756.0,464.0,0.0,0.0,128.0,259.0,12.0,3.0
0.0,0.0,100.0,0.0,0.0,0.0,1002.0,322.0,0.0,0.0,139.0,241.0,11.0,1.0
