"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arldcn24",,,,"User:","apferrei"
"Cmdline:","dstat --output /tmp/dstat-run-2000000-bml.csv -cndy --net-packets",,,,"Date:","02 Jul 2014 11:17:45 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
2.025,0.096,97.811,0.049,0.000,0.020,0.0,0.0,151363.961,1122037.172,5484.324,2235.439,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,66.0,852.0,0.0,0.0,77.0,97.0,1.0,2.0
0.0,0.0,100.0,0.0,0.0,0.0,66.0,322.0,0.0,0.0,98.0,144.0,1.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,1002.0,762.0,0.0,0.0,149.0,192.0,9.0,5.0
0.0,0.0,100.0,0.0,0.0,0.0,1454.0,0.0,0.0,0.0,60.0,80.0,6.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,104.0,81.0,4.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,60.0,0.0,0.0,32768.0,102.0,152.0,1.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,4861.0,5506.0,0.0,0.0,293.0,304.0,54.0,43.0
9.444,2.830,87.250,0.0,0.0,0.477,4372356.0,11064697.0,0.0,0.0,169026.0,102783.0,50878.0,50861.0
10.738,3.104,85.524,0.0,0.0,0.634,4771104.0,12098617.0,0.0,16384.0,185217.0,112139.0,55484.0,55482.0
10.181,3.150,85.905,0.0,0.0,0.764,4780970.0,12121143.0,0.0,16384.0,185146.0,112487.0,55589.0,55587.0
10.675,3.199,85.524,0.0,0.0,0.602,4786450.0,12137779.0,0.0,65536.0,185147.0,112537.0,55658.0,55652.0
10.264,3.273,85.828,0.032,0.0,0.604,4781868.0,12122221.0,0.0,16384.0,185226.0,112343.0,55601.0,55600.0
10.246,3.000,86.052,0.0,0.0,0.702,4762294.0,12069627.0,0.0,16384.0,185346.0,111908.0,55360.0,55349.0
10.553,3.210,85.474,0.0,0.0,0.763,4718116.0,11964733.0,0.0,16384.0,184576.0,110924.0,54842.0,54844.0
10.255,3.439,85.637,0.032,0.0,0.637,4717834.0,11962587.0,0.0,16384.0,184728.0,110938.0,54868.0,54860.0
10.715,3.180,85.501,0.0,0.0,0.604,4707514.0,11934169.0,0.0,32768.0,184254.0,110662.0,54737.0,54738.0
10.441,3.097,85.696,0.0,0.0,0.766,4754902.0,12058568.0,0.0,16384.0,186026.0,111898.0,55295.0,55296.0
11.228,3.181,84.987,0.064,0.0,0.541,4841468.0,12275093.0,0.0,90112.0,189703.0,113808.0,56292.0,56288.0
11.072,3.173,84.772,0.0,0.0,0.984,4832910.0,12252052.0,0.0,16384.0,189670.0,113605.0,56193.0,56191.0
11.033,3.339,84.992,0.0,0.0,0.636,4828806.0,12243748.0,0.0,16384.0,189894.0,113449.0,56154.0,56152.0
10.674,3.260,85.427,0.0,0.0,0.639,4831374.0,12252353.0,0.0,24576.0,189815.0,113588.0,56180.0,56178.0
10.687,3.531,85.051,0.0,0.0,0.732,4819932.0,12217327.0,0.0,28672.0,189331.0,113362.0,56038.0,56036.0
10.935,3.369,84.933,0.0,0.0,0.763,4824810.0,12234740.0,0.0,16384.0,187727.0,113195.0,56120.0,56121.0
11.305,3.334,84.789,0.0,0.0,0.572,4838194.0,12269207.0,0.0,16384.0,185673.0,112923.0,56265.0,56267.0
11.139,3.491,84.735,0.0,0.0,0.635,4848010.0,12291488.0,0.0,16384.0,185953.0,113135.0,56353.0,56348.0
11.076,3.278,84.978,0.032,0.0,0.637,4845218.0,12286064.0,0.0,24576.0,185916.0,113145.0,56341.0,56340.0
11.069,3.117,85.305,0.0,0.032,0.477,4740488.0,12016428.0,0.0,16384.0,181011.0,110562.0,55109.0,55105.0
10.207,3.370,85.819,0.0,0.0,0.604,4542378.0,11519960.0,0.0,102400.0,172636.0,106112.0,52842.0,52839.0
10.530,3.267,85.664,0.032,0.0,0.507,4541330.0,11513447.0,0.0,16384.0,171569.0,105969.0,52796.0,52794.0
10.416,3.334,85.773,0.0,0.0,0.476,4538394.0,11505557.0,0.0,16384.0,171675.0,105941.0,52772.0,52767.0
10.610,3.050,85.801,0.0,0.0,0.540,4532946.0,11493592.0,0.0,16384.0,171579.0,105776.0,52709.0,52702.0
10.421,2.964,86.106,0.032,0.0,0.478,4530092.0,11484248.0,0.0,24576.0,171483.0,105738.0,52675.0,52673.0
9.939,3.164,86.385,0.0,0.0,0.511,4514702.0,11445869.0,0.0,16384.0,172855.0,105529.0,52481.0,52468.0
10.855,3.029,85.295,0.032,0.0,0.789,4470054.0,11333144.0,0.0,28672.0,174669.0,105060.0,51977.0,51982.0
10.235,3.274,85.919,0.0,0.0,0.572,4474246.0,11346431.0,0.0,16384.0,174891.0,104997.0,52031.0,52029.0
10.289,2.953,85.869,0.032,0.0,0.857,4467618.0,11329325.0,0.0,16384.0,174294.0,104948.0,51953.0,51953.0
10.140,3.316,85.969,0.0,0.0,0.574,4546556.0,11524542.0,0.0,24576.0,178017.0,106757.0,52872.0,52861.0
10.449,3.472,85.282,0.032,0.0,0.765,4646942.0,11783308.0,0.0,94208.0,183726.0,109231.0,54028.0,54028.0
10.858,3.324,84.900,0.0,0.0,0.918,4674198.0,11852465.0,0.0,16384.0,184238.0,109802.0,54360.0,54360.0
10.287,3.599,85.414,0.0,0.0,0.701,4656906.0,11805986.0,0.0,28672.0,183580.0,109377.0,54149.0,54145.0
10.224,2.949,86.026,0.0,0.0,0.801,4644442.0,11777111.0,0.0,16384.0,182853.0,109055.0,53995.0,53994.0
10.459,3.221,85.587,0.0,0.0,0.733,4647626.0,11784270.0,0.0,28672.0,182880.0,109174.0,54036.0,54036.0
11.094,3.129,85.082,0.0,0.0,0.695,4710884.0,11945580.0,0.0,16384.0,184470.0,110613.0,54806.0,54804.0
10.313,3.385,85.606,0.032,0.0,0.664,4841004.0,12274708.0,0.0,16384.0,188592.0,113546.0,56294.0,56287.0
10.241,3.202,85.764,0.0,0.0,0.793,4836836.0,12262950.0,0.0,16384.0,188645.0,113467.0,56242.0,56237.0
9.955,3.149,86.101,0.0,0.0,0.795,4834444.0,12255608.0,0.0,36864.0,189857.0,113391.0,56214.0,56210.0
10.152,3.352,85.579,0.0,0.0,0.917,4838292.0,12268944.0,0.0,32768.0,192928.0,113504.0,56252.0,56250.0
10.102,3.113,85.959,0.032,0.0,0.794,4848604.0,12292934.0,0.0,77824.0,191811.0,113681.0,56375.0,56374.0
9.866,3.246,86.060,0.0,0.0,0.827,4861212.0,12325398.0,0.0,16384.0,187953.0,114017.0,56519.0,56519.0
10.348,3.354,85.633,0.0,0.0,0.665,4851840.0,12303463.0,0.0,16384.0,187910.0,113779.0,56428.0,56428.0
10.115,3.117,86.069,0.032,0.0,0.668,4859140.0,12322486.0,0.0,16384.0,187812.0,113930.0,56504.0,56502.0
10.570,3.133,85.570,0.0,0.0,0.728,4867924.0,12339012.0,0.0,40960.0,188105.0,113985.0,56592.0,56585.0
10.035,3.356,85.938,0.032,0.0,0.639,4768262.0,12088236.0,0.0,16384.0,184244.0,111646.0,55431.0,55430.0
11.288,3.189,84.885,0.0,0.0,0.638,4571688.0,11593237.0,0.0,16384.0,176608.0,106878.0,53167.0,53160.0
11.101,3.435,84.733,0.0,0.0,0.732,4586688.0,11629782.0,0.0,16384.0,176982.0,107236.0,53337.0,53338.0
11.143,3.311,84.814,0.032,0.0,0.700,4580908.0,11616662.0,0.0,16384.0,177040.0,107060.0,53265.0,53264.0
11.348,3.315,84.954,0.0,0.0,0.383,4568040.0,11581482.0,0.0,36864.0,176309.0,106745.0,53118.0,53116.0
11.217,3.314,84.990,0.032,0.0,0.446,4558504.0,11558483.0,0.0,106496.0,175615.0,106569.0,53011.0,53008.0
10.636,3.449,85.180,0.0,0.0,0.735,4559096.0,11560058.0,0.0,16384.0,175730.0,106579.0,53013.0,53014.0
11.291,3.244,84.892,0.0,0.0,0.573,4560484.0,11561430.0,0.0,16384.0,175658.0,106510.0,53021.0,53020.0
11.090,3.495,84.779,0.0,0.0,0.636,4559662.0,11559326.0,0.0,16384.0,175816.0,106554.0,53012.0,53003.0
11.727,3.328,84.501,0.0,0.0,0.444,4553486.0,11543174.0,0.0,24576.0,175713.0,106476.0,52940.0,52938.0
11.012,3.469,84.914,0.0,0.0,0.605,4557760.0,11555862.0,0.0,28672.0,175958.0,106544.0,52995.0,52994.0
11.104,3.095,85.163,0.032,0.0,0.606,4547970.0,11532635.0,0.0,16384.0,176636.0,106301.0,52885.0,52878.0
10.916,3.288,85.190,0.0,0.0,0.606,4546732.0,11528471.0,0.0,16384.0,176295.0,106229.0,52869.0,52867.0
11.019,3.493,84.789,0.0,0.0,0.699,4540666.0,11511020.0,0.0,16384.0,176075.0,106124.0,52799.0,52794.0
11.333,3.365,84.730,0.0,0.0,0.571,4537724.0,11506896.0,0.0,24576.0,176637.0,106081.0,52765.0,52766.0
1.064,0.250,98.623,0.031,0.0,0.031,402704.0,1001961.0,0.0,94208.0,15403.0,9344.0,4643.0,4553.0
0.0,0.0,100.0,0.0,0.0,0.0,120.0,0.0,0.0,12288.0,54.0,92.0,2.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,163.0,138.0,4.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,50.0,81.0,3.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8192.0,82.0,80.0,0.0,0.0
0.031,0.031,99.938,0.0,0.0,0.0,7635.0,8218.0,0.0,0.0,438.0,483.0,90.0,72.0
