"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arldcn24",,,,"User:","apferrei"
"Cmdline:","dstat --output /tmp/dstat-run-2000000-docker-nofs-nonet.csv -cndy --net-packets",,,,"Date:","02 Jul 2014 22:43:59 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
32.074,9.271,55.623,0.017,0.000,3.016,0.0,0.0,24151.547,319872.879,609317.724,144733.160,0.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,252.0,918.0,0.0,0.0,94.0,133.0,4.0,3.0
0.0,0.0,100.0,0.0,0.0,0.0,1406.0,644.0,0.0,0.0,84.0,89.0,5.0,2.0
0.0,0.0,100.0,0.0,0.0,0.0,126.0,322.0,0.0,0.0,49.0,87.0,2.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,486.0,762.0,0.0,0.0,169.0,173.0,6.0,5.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,115.0,0.0,0.0
0.0,0.0,99.969,0.031,0.0,0.0,120.0,0.0,0.0,28672.0,79.0,91.0,2.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,44.0,82.0,1.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,117.0,0.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,130.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,82.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,69.0,82.0,3.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,15293.0,14544.0,0.0,12288.0,354.0,394.0,144.0,149.0
9.056,2.742,86.001,0.0,0.0,2.200,23479608.0,18031040.0,0.0,0.0,140954.0,120282.0,138944.0,138956.0
10.338,3.159,83.727,0.0,0.0,2.776,26652662.0,20458373.0,0.0,20480.0,161641.0,134771.0,157353.0,157340.0
10.682,3.093,83.737,0.0,0.0,2.487,26730102.0,20521772.0,0.0,16384.0,162027.0,135072.0,157824.0,157830.0
10.535,2.754,84.118,0.0,0.032,2.562,26794967.0,20568400.0,0.0,16384.0,162229.0,135578.0,158242.0,158232.0
10.118,3.415,83.881,0.0,0.0,2.585,26837249.0,20603299.0,0.0,16384.0,164750.0,135729.0,158372.0,158375.0
10.499,3.041,84.123,0.0,0.0,2.337,26941662.0,20678546.0,0.0,28672.0,166930.0,136193.0,159039.0,159030.0
9.709,3.258,83.743,0.032,0.0,3.258,26767702.0,20551394.0,0.0,16384.0,165686.0,135481.0,158001.0,157993.0
10.973,3.467,82.983,0.0,0.0,2.576,25937666.0,19913079.0,0.0,16384.0,164244.0,128705.0,153169.0,153175.0
11.204,2.913,83.579,0.0,0.0,2.305,26001344.0,19958364.0,0.0,16384.0,161349.0,129023.0,153511.0,153505.0
10.557,3.359,83.525,0.0,0.0,2.559,26035764.0,19985599.0,0.0,16384.0,161700.0,129096.0,153684.0,153683.0
11.022,3.003,83.514,0.032,0.0,2.428,25590542.0,19642889.0,0.0,77824.0,158494.0,127103.0,151089.0,151093.0
9.997,3.279,84.177,0.032,0.0,2.515,24553098.0,18850081.0,0.0,36864.0,150697.0,122284.0,145035.0,145028.0
10.178,3.244,84.160,0.0,0.0,2.417,24598540.0,18882894.0,0.0,16384.0,151139.0,122198.0,145164.0,145162.0
10.188,3.025,84.209,0.0,0.0,2.579,24596508.0,18882589.0,0.0,16384.0,151287.0,122385.0,145235.0,145234.0
10.503,3.087,84.214,0.032,0.0,2.164,24578894.0,18868601.0,0.0,16384.0,151125.0,122254.0,145134.0,145137.0
10.092,3.152,84.241,0.0,0.0,2.515,24571175.0,18859643.0,0.0,16384.0,150827.0,122089.0,145042.0,145036.0
10.453,3.421,83.782,0.0,0.0,2.344,24699640.0,18960462.0,0.0,16384.0,149860.0,124822.0,145892.0,145881.0
10.148,2.922,84.971,0.032,0.0,1.927,25078804.0,19253966.0,0.0,32768.0,144147.0,134720.0,148079.0,148072.0
10.326,3.069,84.495,0.0,0.0,2.110,25051152.0,19228117.0,0.0,20480.0,143648.0,134777.0,147899.0,147896.0
10.233,3.358,84.490,0.0,0.0,1.919,25035300.0,19218091.0,0.0,16384.0,143679.0,134664.0,147814.0,147816.0
10.387,2.972,84.308,0.032,0.0,2.301,25332748.0,19447614.0,0.0,90112.0,145488.0,136140.0,149578.0,149568.0
10.216,3.319,84.144,0.0,0.0,2.320,26410238.0,20274660.0,0.0,16384.0,153172.0,141591.0,155932.0,155930.0
10.805,3.110,83.681,0.0,0.0,2.405,26361934.0,20236074.0,0.0,16384.0,153457.0,141334.0,155633.0,155634.0
10.730,3.203,83.664,0.032,0.0,2.370,26461010.0,20312276.0,0.0,69632.0,153593.0,141858.0,156239.0,156235.0
10.805,3.014,83.745,0.0,0.0,2.437,26465732.0,20317254.0,0.0,16384.0,153716.0,141723.0,156263.0,156261.0
10.308,3.500,83.943,0.0,0.0,2.248,26453928.0,20306547.0,0.0,16384.0,153702.0,141645.0,156186.0,156193.0
10.843,2.928,83.945,0.0,0.0,2.284,26233410.0,20138307.0,0.0,16384.0,151956.0,141237.0,154836.0,154821.0
10.940,3.625,83.221,0.0,0.0,2.214,25792744.0,19798174.0,0.0,16384.0,147805.0,141715.0,152276.0,152278.0
11.086,3.374,83.387,0.0,0.0,2.153,25731708.0,19751179.0,0.0,16384.0,147439.0,141590.0,151914.0,151906.0
11.033,3.432,83.258,0.032,0.0,2.245,25715724.0,19742244.0,0.0,28672.0,147362.0,141483.0,151833.0,151840.0
10.957,3.319,83.725,0.0,0.0,1.998,25587724.0,19642323.0,0.0,77824.0,146384.0,140658.0,151074.0,151061.0
10.833,3.269,83.526,0.0,0.0,2.372,25247428.0,19381145.0,0.0,16384.0,144472.0,138964.0,149060.0,149059.0
11.029,2.862,83.730,0.032,0.0,2.347,25318459.0,19434557.0,0.0,16384.0,144560.0,139247.0,149477.0,149479.0
10.721,3.252,83.870,0.0,0.0,2.157,25273465.0,19404258.0,0.0,24576.0,144425.0,138981.0,149227.0,149226.0
10.602,3.716,83.472,0.0,0.0,2.210,25258818.0,19386155.0,0.0,16384.0,144445.0,138846.0,149110.0,149110.0
10.758,3.308,83.654,0.032,0.0,2.248,25236464.0,19375885.0,0.0,28672.0,144282.0,138853.0,149014.0,149005.0
10.736,3.054,83.864,0.0,0.0,2.347,25420446.0,19513814.0,0.0,16384.0,145382.0,139357.0,150152.0,150157.0
10.742,3.261,83.824,0.0,0.0,2.174,26105943.0,20037735.0,0.0,16384.0,149832.0,140642.0,154121.0,154112.0
10.492,3.154,84.326,0.032,0.0,1.995,26095387.0,20033906.0,0.0,24576.0,149606.0,140700.0,154061.0,154073.0
10.378,3.459,83.921,0.0,0.0,2.242,26102592.0,20038882.0,0.0,16384.0,149999.0,140594.0,154123.0,154112.0
10.742,3.389,83.760,0.032,0.0,2.078,26092824.0,20027532.0,0.0,90112.0,149407.0,140741.0,154059.0,154060.0
10.477,3.236,83.947,0.0,0.0,2.339,26111552.0,20045988.0,0.0,28672.0,149104.0,141292.0,154113.0,154109.0
11.157,3.133,83.792,0.0,0.0,1.918,26141810.0,20065784.0,0.0,16384.0,149114.0,141390.0,154340.0,154334.0
10.380,3.417,83.711,0.0,0.0,2.491,26160704.0,20084486.0,0.0,16384.0,149171.0,141788.0,154475.0,154479.0
10.365,3.359,83.813,0.0,0.0,2.463,26178714.0,20094675.0,0.0,16384.0,149379.0,141721.0,154551.0,154548.0
10.417,3.365,84.006,0.0,0.0,2.212,26184116.0,20096889.0,0.0,16384.0,149032.0,141706.0,154576.0,154571.0
10.592,3.392,83.840,0.032,0.0,2.144,26242980.0,20148277.0,0.0,28672.0,148983.0,142927.0,155009.0,155013.0
10.420,3.078,84.130,0.0,0.0,2.373,26577326.0,20402104.0,0.0,16384.0,147915.0,147985.0,156912.0,156906.0
10.649,3.230,83.882,0.0,0.0,2.239,26554354.0,20384524.0,0.0,16384.0,151720.0,147889.0,156778.0,156779.0
10.589,3.231,83.909,0.0,0.0,2.271,26563754.0,20392309.0,0.0,20480.0,152579.0,147830.0,156850.0,156850.0
10.535,2.835,84.472,0.032,0.0,2.126,26488198.0,20332203.0,0.0,151552.0,150197.0,147413.0,156367.0,156364.0
10.304,3.328,84.064,0.0,0.0,2.304,26320610.0,20206087.0,0.0,16384.0,147020.0,146201.0,155411.0,155415.0
10.727,3.202,84.054,0.032,0.0,1.985,26346454.0,20223188.0,0.0,61440.0,146849.0,146314.0,155522.0,155516.0
10.536,3.084,84.388,0.0,0.0,1.992,26325120.0,20206528.0,0.0,24576.0,146646.0,146220.0,155428.0,155424.0
10.393,3.422,83.978,0.0,0.0,2.207,26329498.0,20212224.0,0.0,16384.0,147020.0,146290.0,155466.0,155462.0
10.884,3.224,83.817,0.032,0.0,2.043,26311814.0,20201837.0,0.0,16384.0,146597.0,146184.0,155363.0,155364.0
10.859,3.130,83.807,0.0,0.0,2.204,26161378.0,20081077.0,0.0,16384.0,146943.0,144421.0,154399.0,154405.0
10.734,3.428,83.915,0.0,0.0,1.922,25482952.0,19562307.0,0.0,16384.0,147559.0,136774.0,150453.0,150447.0
10.912,3.360,83.840,0.032,0.0,1.856,25487282.0,19563525.0,0.0,36864.0,147219.0,136635.0,150464.0,150456.0
10.731,3.002,83.584,0.0,0.0,2.683,25377846.0,19483219.0,0.0,16384.0,147220.0,136230.0,149851.0,149852.0
0.814,0.250,98.685,0.0,0.0,0.250,1983420.0,1530753.0,0.0,77824.0,11586.0,10690.0,11615.0,11706.0
0.0,0.0,100.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,81.0,86.0,3.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,49.0,80.0,3.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,60.0,0.0,0.0,36864.0,98.0,112.0,1.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,360.0,0.0,0.0,12288.0,78.0,120.0,6.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,22885.0,23182.0,0.0,0.0,476.0,500.0,231.0,247.0
5.416,1.472,91.609,0.0,0.0,1.503,10160752.0,7837376.0,0.0,0.0,77861.0,39039.0,60834.0,60916.0
25.366,7.279,59.599,0.0,0.0,7.756,49477302.0,37977393.0,0.0,16384.0,370106.0,175665.0,292093.0,292110.0
