"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arldcn24",,,,"User:","apferrei"
"Cmdline:","dstat --output /tmp/dstat-run-2000000-docker-nofs.csv -cndy --net-packets",,,,"Date:","02 Jul 2014 19:15:05 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
29.208,8.389,59.672,0.018,0.000,2.712,0.0,0.0,32289.330,364458.694,555131.890,129993.109,0.0,0.0
0.0,0.0,99.969,0.031,0.0,0.0,612.0,836.0,0.0,1064960.0,146.0,218.0,10.0,2.0
0.0,0.0,99.969,0.031,0.0,0.0,1520.0,338.0,0.0,143360.0,125.0,157.0,7.0,1.0
0.0,0.031,99.969,0.0,0.0,0.0,366.0,338.0,0.0,0.0,79.0,117.0,6.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,306.0,322.0,0.0,0.0,108.0,92.0,5.0,1.0
0.0,0.031,99.969,0.0,0.0,0.0,732.0,860.0,0.0,28672.0,106.0,151.0,10.0,6.0
0.031,0.0,99.969,0.0,0.0,0.0,180.0,0.0,0.0,0.0,103.0,144.0,3.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,64.0,82.0,5.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,240.0,0.0,0.0,12288.0,65.0,92.0,4.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,73.0,87.0,7.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,112.0,154.0,3.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,240.0,0.0,0.0,0.0,68.0,80.0,4.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,120.0,0.0,0.0,0.0,91.0,82.0,2.0,0.0
0.031,0.0,99.969,0.0,0.0,0.0,120.0,0.0,0.0,0.0,79.0,110.0,2.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,180.0,0.0,0.0,12288.0,115.0,159.0,3.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,466.0,0.0,0.0,0.0,68.0,90.0,5.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,300.0,0.0,0.0,0.0,51.0,82.0,5.0,0.0
