"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arldcn24",,,,"User:","apferrei"
"Cmdline:","dstat --output /tmp/dstat-run-2000000-docker.csv -cndy --net-packets",,,,"Date:","02 Jul 2014 14:39:58 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
28.049,7.893,61.512,0.027,0.000,2.519,0.0,0.0,57532.894,548637.582,525715.241,120689.085,0.0,0.0
0.031,0.0,99.969,0.0,0.0,0.0,126.0,918.0,0.0,0.0,91.0,131.0,2.0,3.0
0.0,0.0,100.0,0.0,0.0,0.0,246.0,322.0,0.0,0.0,97.0,125.0,4.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,246.0,322.0,0.0,0.0,58.0,83.0,4.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,1400.0,388.0,0.0,0.0,119.0,97.0,10.0,2.0
0.0,0.0,100.0,0.0,0.0,0.0,372.0,696.0,0.0,0.0,107.0,171.0,5.0,4.0
0.0,0.0,100.0,0.0,0.0,0.0,60.0,0.0,0.0,28672.0,84.0,124.0,1.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,770.0,0.0,0.0,0.0,63.0,83.0,4.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,696.0,0.0,0.0,0.0,62.0,78.0,6.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,95.0,114.0,10.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,830.0,0.0,0.0,0.0,100.0,140.0,5.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,70.0,92.0,4.0,0.0
0.0,0.0,99.969,0.031,0.0,0.0,1274.0,0.0,0.0,49152.0,66.0,93.0,3.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,702.0,0.0,0.0,0.0,126.0,113.0,7.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,97.0,146.0,1.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,3847.0,4750.0,0.0,0.0,241.0,274.0,45.0,35.0
8.811,2.631,88.019,0.0,0.0,0.539,3937854.0,9960518.0,0.0,0.0,154905.0,93267.0,45826.0,45804.0
10.795,2.970,85.787,0.0,0.0,0.447,4772900.0,12100279.0,0.0,36864.0,187407.0,112418.0,55487.0,55480.0
10.607,3.207,85.360,0.032,0.0,0.794,4789200.0,12147532.0,0.0,32768.0,188038.0,112864.0,55713.0,55716.0
10.981,3.165,85.127,0.0,0.0,0.728,4798938.0,12166176.0,0.0,16384.0,188154.0,113029.0,55772.0,55773.0
10.464,2.784,85.888,0.0,0.0,0.864,4774626.0,12107070.0,0.0,16384.0,185930.0,112350.0,55549.0,55544.0
11.815,3.389,84.131,0.0,0.0,0.665,4628564.0,11734368.0,0.0,16384.0,178243.0,108277.0,53811.0,53809.0
11.310,3.268,84.973,0.032,0.0,0.417,4596164.0,11654170.0,0.0,16384.0,181837.0,107475.0,53426.0,53424.0
11.001,3.646,84.874,0.0,0.0,0.480,4620112.0,11713881.0,0.0,40960.0,177788.0,108016.0,53725.0,53722.0
11.444,3.188,84.699,0.0,0.0,0.669,4626288.0,11730733.0,0.0,16384.0,177933.0,108142.0,53794.0,53791.0
10.890,3.748,84.914,0.032,0.0,0.416,4484264.0,11369549.0,0.0,16384.0,279269.0,105191.0,52135.0,52129.0
11.040,3.530,85.013,0.0,0.0,0.417,4448198.0,11276248.0,0.0,90112.0,255935.0,104264.0,51732.0,51728.0
11.333,3.810,84.317,0.0,0.0,0.540,4574096.0,11599036.0,0.0,16384.0,194083.0,106912.0,53179.0,53181.0
11.076,3.543,84.871,0.0,0.0,0.511,4582834.0,11619437.0,0.0,28672.0,181834.0,107190.0,53302.0,53295.0
11.033,3.390,85.161,0.032,0.0,0.384,4576412.0,11605211.0,0.0,24576.0,179220.0,106989.0,53209.0,53211.0
10.809,3.294,85.321,0.0,0.0,0.576,4616626.0,11703451.0,0.0,16384.0,178997.0,107963.0,53686.0,53673.0
9.968,3.237,86.218,0.0,0.0,0.577,4763440.0,12080093.0,0.0,16384.0,182360.0,111145.0,55394.0,55397.0
10.739,2.932,85.692,0.0,0.0,0.637,4761880.0,12074211.0,0.0,20480.0,182075.0,111030.0,55364.0,55364.0
10.717,3.456,85.320,0.0,0.0,0.507,4764992.0,12081242.0,0.0,16384.0,181865.0,111165.0,55409.0,55409.0
10.510,3.280,85.573,0.0,0.0,0.637,4789498.0,12143858.0,0.0,40960.0,182977.0,111731.0,55705.0,55699.0
10.493,3.231,85.573,0.0,0.0,0.704,4876942.0,12363382.0,0.0,16384.0,187363.0,113734.0,56709.0,56709.0
10.980,3.342,85.169,0.032,0.0,0.477,4879948.0,12375469.0,0.0,90112.0,187348.0,113836.0,56750.0,56746.0
10.696,3.225,85.377,0.0,0.0,0.702,4874128.0,12355974.0,0.0,16384.0,187782.0,113721.0,56667.0,56670.0
10.792,3.289,85.409,0.0,0.0,0.511,4873918.0,12357677.0,0.0,16384.0,187356.0,113712.0,56680.0,56669.0
10.580,3.633,85.245,0.0,0.0,0.542,4874832.0,12361418.0,0.0,28672.0,187513.0,113725.0,56680.0,56682.0
11.079,3.311,85.068,0.0,0.0,0.541,4845380.0,12285081.0,0.0,24576.0,187539.0,113248.0,56344.0,56342.0
11.203,3.554,84.449,0.032,0.0,0.762,4696970.0,11910032.0,0.0,16384.0,186393.0,110627.0,54619.0,54616.0
