"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
0,64.435,17.372,11.908,0.316,0.0,5.970,17311062.0,43894402.0,32079872.0,16384.0,1329887.0,312591.0,201349.0,201339.0
0,62.949,18.430,12.043,0.127,0.0,6.451,17537242.0,44456494.0,13746176.0,16384.0,1345913.0,315168.0,203892.0,203885.0
0,63.061,18.940,12.480,0.094,0.0,5.425,17470096.0,44301955.0,9355264.0,16384.0,1339449.0,315601.0,203152.0,203116.0
0,53.624,14.277,28.083,0.063,0.0,3.954,15452924.0,39195410.0,4898816.0,36864.0,1013370.0,280750.0,179680.0,179739.0
0,53.990,14.994,27.120,0.062,0.0,3.834,15720578.0,39857195.0,4685824.0,16384.0,1020390.0,281834.0,182695.0,182688.0
0,51.894,14.617,29.828,0.031,0.0,3.631,15256022.0,38690352.0,2883584.0,20480.0,977315.0,275367.0,177518.0,177542.0
0,52.915,14.671,28.715,0.031,0.0,3.668,15479066.0,39248422.0,2850816.0,16384.0,1002698.0,280002.0,180024.0,180038.0
0,53.692,15.551,26.940,0.031,0.0,3.786,15816832.0,40099892.0,2179072.0,16384.0,1029765.0,289343.0,183890.0,183881.0
0,53.462,15.284,27.449,0.031,0.0,3.774,15693952.0,39799172.0,2211840.0,16384.0,1028042.0,288510.0,182488.0,182520.0
0,55.142,15.505,25.477,0.031,0.0,3.845,16018360.0,40621214.0,1916928.0,90112.0,1054865.0,291636.0,186084.0,186089.0
0,53.970,16.594,25.806,0.0,0.0,3.629,15926900.0,40385705.0,1966080.0,16384.0,1055657.0,292745.0,185287.0,185310.0
0,55.639,15.476,25.125,0.031,0.0,3.728,16160868.0,40966474.0,1998848.0,16384.0,1057058.0,291451.0,187925.0,187941.0
0,51.204,14.411,30.666,0.031,0.0,3.689,15118474.0,38352130.0,1540096.0,16384.0,958685.0,275029.0,175750.0,175746.0
0,63.085,17.762,13.590,0.0,0.0,5.563,17422438.0,44171719.0,1310720.0,16384.0,1302893.0,307831.0,202645.0,202655.0
0,63.110,17.606,13.046,0.032,0.0,6.206,17469362.0,44295930.0,1540096.0,20480.0,1322025.0,312610.0,203197.0,203197.0
0,63.201,17.946,12.621,0.031,0.0,6.201,17437520.0,44215482.0,1146880.0,28672.0,1343184.0,313359.0,202780.0,202791.0
0,62.201,18.663,13.335,0.095,0.0,5.706,16931112.0,42936536.0,1146880.0,16384.0,1581712.0,306757.0,196870.0,196861.0
0,62.931,18.582,12.441,0.0,0.0,6.046,17455366.0,44253694.0,1179648.0,16384.0,1358484.0,311344.0,202968.0,202956.0
0,62.909,18.703,12.217,0.0,0.0,6.171,17340746.0,43968797.0,917504.0,24576.0,1427191.0,307501.0,201585.0,201581.0
0,61.640,18.505,13.981,0.031,0.0,5.844,16545058.0,41954651.0,868352.0,106496.0,1702891.0,301082.0,192431.0,192435.0
