"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
0,71.007,13.492,10.292,0.314,0.0,4.895,13491598.0,34212368.0,29474816.0,20480.0,1059412.0,232281.0,156926.0,156932.0
0,70.217,14.403,9.896,0.126,0.0,5.358,13688218.0,34700935.0,12664832.0,28672.0,1076080.0,232518.0,159114.0,159111.0
0,71.406,13.872,9.940,0.063,0.0,4.718,13715198.0,34782420.0,7913472.0,16384.0,1086322.0,233462.0,159533.0,159533.0
0,71.075,13.384,10.054,0.063,0.0,5.423,13740078.0,34832818.0,6094848.0,16384.0,1080316.0,232397.0,159696.0,159686.0
0,70.839,13.556,10.088,0.063,0.0,5.454,13734036.0,34824408.0,4358144.0,16384.0,1078261.0,232370.0,159699.0,159699.0
0,71.163,13.520,9.959,0.032,0.0,5.326,13763112.0,34899602.0,3670016.0,16384.0,1086167.0,233407.0,160047.0,160046.0
0,71.338,13.857,9.691,0.032,0.0,5.082,13781126.0,34941792.0,3375104.0,16384.0,1086708.0,233344.0,160248.0,160240.0
0,70.690,14.049,9.866,0.032,0.0,5.364,13792784.0,34973499.0,2211840.0,28672.0,1087347.0,232455.0,160427.0,160438.0
0,71.388,13.118,10.076,0.032,0.0,5.387,13767736.0,34920009.0,2457600.0,16384.0,1086678.0,232969.0,160093.0,160081.0
0,70.532,14.132,9.886,0.0,0.0,5.450,13765862.0,34903917.0,2031616.0,77824.0,1084646.0,231972.0,160020.0,160018.0
0,70.225,14.317,10.548,0.032,0.0,4.878,13703616.0,34740609.0,1785856.0,16384.0,1076340.0,232704.0,159358.0,159364.0
0,70.900,13.839,10.174,0.032,0.0,5.055,13755982.0,34877541.0,1720320.0,20480.0,1081659.0,233005.0,159997.0,159982.0
0,69.633,14.028,11.146,0.0,0.0,5.193,13653846.0,34624285.0,1818624.0,16384.0,1070502.0,233892.0,158783.0,158784.0
0,68.340,13.952,13.131,0.032,0.0,4.545,13442698.0,34092852.0,1671168.0,28672.0,1050138.0,237105.0,156290.0,156301.0
0,69.732,12.739,12.101,0.0,0.0,5.428,13606268.0,34504825.0,1277952.0,16384.0,1066805.0,235949.0,158249.0,158243.0
0,69.530,13.417,12.226,0.031,0.0,4.796,13541592.0,34319010.0,1261568.0,16384.0,1059592.0,237977.0,157341.0,157336.0
0,66.394,14.268,14.520,0.031,0.0,4.787,12620132.0,32009077.0,1114112.0,16384.0,1541573.0,226540.0,146812.0,146826.0
0,66.254,15.111,13.492,0.159,0.0,4.984,12693562.0,32194112.0,1081344.0,16384.0,1559518.0,229795.0,147595.0,147576.0
0,65.263,14.661,15.358,0.032,0.0,4.687,12938472.0,32799256.0,999424.0,16384.0,1202346.0,234896.0,150403.0,150403.0
0,68.109,14.131,12.381,0.032,0.0,5.347,13277438.0,33668209.0,1146880.0,102400.0,1262030.0,236359.0,154399.0,154391.0
0,68.706,14.436,11.536,0.032,0.0,5.290,13619578.0,34524569.0,786432.0,24576.0,1102260.0,238598.0,158434.0,158447.0
