"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arldcn24",,,,"User:","apferrei"
"Cmdline:","dstat --output /tmp/dstat-run-2000000-hostnet-hostfs.csv -cndy --net-packets",,,,"Date:","24 Jun 2014 14:26:57 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
24.054,6.916,66.716,0.039,0.000,2.275,0.0,0.0,1171859.784,48666.378,517824.725,116554.522,0.0,0.0
0.031,0.0,99.969,0.0,0.0,0.0,252.0,1196.0,0.0,0.0,138.0,238.0,4.0,4.0
0.0,0.031,99.969,0.0,0.0,0.0,216.0,460.0,0.0,0.0,209.0,275.0,3.0,2.0
0.0,0.031,99.969,0.0,0.0,0.0,132.0,600.0,0.0,0.0,142.0,234.0,2.0,2.0
0.0,0.062,99.938,0.0,0.0,0.0,252.0,584.0,0.0,0.0,140.0,232.0,4.0,2.0
0.0,0.0,100.0,0.0,0.0,0.0,66.0,370.0,0.0,0.0,129.0,203.0,1.0,1.0
0.031,0.031,99.906,0.031,0.0,0.0,192.0,552.0,0.0,28672.0,178.0,292.0,3.0,2.0
0.031,0.031,99.938,0.0,0.0,0.0,510.0,782.0,0.0,0.0,165.0,239.0,8.0,5.0
0.0,0.031,99.969,0.0,0.0,0.0,246.0,370.0,0.0,0.0,118.0,200.0,4.0,1.0
0.0,0.031,99.969,0.0,0.0,0.0,252.0,536.0,0.0,0.0,163.0,242.0,4.0,2.0
0.031,0.062,99.906,0.0,0.0,0.0,316.0,680.0,0.0,0.0,228.0,316.0,4.0,2.0
0.031,0.0,99.969,0.0,0.0,0.0,400.0,460.0,0.0,0.0,128.0,192.0,5.0,2.0
0.031,0.0,99.969,0.0,0.0,0.0,132.0,680.0,0.0,12288.0,153.0,241.0,2.0,2.0
0.031,0.031,99.938,0.0,0.0,0.0,372.0,552.0,0.0,0.0,153.0,228.0,6.0,2.0
0.031,0.031,99.938,0.0,0.0,0.0,486.0,370.0,0.0,0.0,178.0,293.0,8.0,1.0
0.0,0.031,99.969,0.0,0.0,0.0,404.0,552.0,0.0,0.0,157.0,234.0,6.0,2.0
0.031,0.0,99.969,0.0,0.0,0.0,796.0,536.0,0.0,0.0,155.0,246.0,12.0,2.0
0.0,0.031,99.969,0.0,0.0,0.0,306.0,370.0,0.0,0.0,139.0,209.0,5.0,1.0
0.031,0.031,99.906,0.031,0.0,0.0,192.0,632.0,0.0,12288.0,214.0,302.0,3.0,2.0
0.031,0.031,99.938,0.0,0.0,0.0,708.0,584.0,0.0,0.0,175.0,258.0,6.0,2.0
0.0,0.0,100.0,0.0,0.0,0.0,1640.0,370.0,0.0,0.0,117.0,192.0,9.0,1.0
0.031,0.031,99.938,0.0,0.0,0.0,192.0,568.0,0.0,0.0,154.0,230.0,3.0,2.0
0.031,0.031,99.938,0.0,0.0,0.0,432.0,584.0,0.0,53248.0,182.0,290.0,7.0,2.0
0.0,0.0,100.0,0.0,0.0,0.0,126.0,370.0,0.0,0.0,125.0,206.0,2.0,1.0
0.0,0.031,99.969,0.0,0.0,0.0,192.0,552.0,0.0,12288.0,154.0,240.0,3.0,2.0
0.0,0.062,99.938,0.0,0.0,0.0,132.0,584.0,0.0,0.0,122.0,216.0,2.0,2.0
0.0,0.031,99.969,0.0,0.0,0.0,408.0,370.0,0.0,0.0,203.0,256.0,2.0,1.0
0.031,0.031,99.938,0.0,0.0,0.0,132.0,664.0,0.0,0.0,131.0,237.0,2.0,2.0
0.031,0.031,99.938,0.0,0.0,0.0,396.0,642.0,0.0,0.0,160.0,226.0,6.0,3.0
0.031,0.0,99.969,0.0,0.0,0.0,372.0,370.0,0.0,0.0,123.0,218.0,6.0,1.0
0.031,0.031,99.937,0.0,0.0,0.0,132.0,568.0,0.0,12288.0,220.0,325.0,2.0,2.0
0.0,0.031,99.969,0.0,0.0,0.0,132.0,632.0,0.0,0.0,133.0,232.0,2.0,2.0
0.0,0.0,100.0,0.0,0.0,0.0,126.0,370.0,0.0,4096.0,147.0,214.0,2.0,1.0
